medicine,description_url,company,company_url,price
ALPHATHER,//www.medicineindia.org/medicine-brand-details/6881/alphather,MONTAGE LAB,//www.medicineindia.org/medicine-manufacturing-company/593/montage-lab,90.00
ACUTRAM,//www.medicineindia.org/medicine-brand-details/1277/acutram,Excare Laboratories,//www.medicineindia.org/medicine-manufacturing-company/327/excare-laboratories,12.00
ACUTRAM,//www.medicineindia.org/medicine-brand-details/1277/acutram,Excare Laboratories,//www.medicineindia.org/medicine-manufacturing-company/327/excare-laboratories,22.00
ABDOCIN INJ.,//www.medicineindia.org/medicine-brand-details/3024/abdocin-inj,ALTAR HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/358/altar-healthcare,106.00
ACIGO,//www.medicineindia.org/medicine-brand-details/12244/acigo,PFISCAR INDIA,//www.medicineindia.org/medicine-manufacturing-company/81/pfiscar-india,2.00
ASTOL,//www.medicineindia.org/medicine-brand-details/1282/astol,ASTAM H. CARE,//www.medicineindia.org/medicine-manufacturing-company/314/astam-h-care,14.00
ASTOL,//www.medicineindia.org/medicine-brand-details/1282/astol,ASTAM H. CARE,//www.medicineindia.org/medicine-manufacturing-company/314/astam-h-care,24.00
ANTRAM,//www.medicineindia.org/medicine-brand-details/1280/antram,DECISIVE PHARMA,//www.medicineindia.org/medicine-manufacturing-company/376/decisive-pharma,24.00
ARMETHER,//www.medicineindia.org/medicine-brand-details/6884/armether,ASTAM H. CARE,//www.medicineindia.org/medicine-manufacturing-company/314/astam-h-care,58.00
ATCURON,//www.medicineindia.org/medicine-brand-details/18978/atcuron,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,95.20
AMORE 36,//www.medicineindia.org/medicine-brand-details/14542/amore-36,CHEMO BIOLOGICAL,//www.medicineindia.org/medicine-manufacturing-company/86/chemo-biological,62.00
ADRENALINE TARTRATE,//www.medicineindia.org/medicine-brand-details/216/adrenaline-tartrate,P & B Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/54/p-b-laboratories-p-ltd,218.40
AXOVIT INJ,//www.medicineindia.org/medicine-brand-details/17777/axovit-inj,Axon Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/378/axon-healthcare-ltd,5.67
AQUAVIRON,//www.medicineindia.org/medicine-brand-details/15487/aquaviron,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,67.20
ASTYMIN-3,//www.medicineindia.org/medicine-brand-details/17300/astymin-3,Tablets (India) Limited,//www.medicineindia.org/medicine-manufacturing-company/40/tablets-india-limited,41.70
ANAWIN HEAVY,//www.medicineindia.org/medicine-brand-details/17121/anawin-heavy,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,63.72
