medicine,description_url,company,company_url,price
BENERGENCE,//www.medicineindia.org/medicine-brand-details/1265/benergence,IND SWIFT LIMITED,//www.medicineindia.org/medicine-manufacturing-company/374/ind-swift-limited,8.00
BENERGENCE,//www.medicineindia.org/medicine-brand-details/1265/benergence,IND SWIFT LIMITED,//www.medicineindia.org/medicine-manufacturing-company/374/ind-swift-limited,16.00
BECLATE INHALER,//www.medicineindia.org/medicine-brand-details/10984/beclate-inhaler,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,177.50
BECLATE INHALER,//www.medicineindia.org/medicine-brand-details/10984/beclate-inhaler,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,307.00
BECLATE INHALER,//www.medicineindia.org/medicine-brand-details/10984/beclate-inhaler,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,242.00
BECLATE INHALER,//www.medicineindia.org/medicine-brand-details/10984/beclate-inhaler,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,141.00
BIOVAC TYPHOID,//www.medicineindia.org/medicine-brand-details/54/biovac-typhoid,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,150.00
BECOM,//www.medicineindia.org/medicine-brand-details/17736/becom,Global Medisciences Limited (Intraways Division),//www.medicineindia.org/medicine-manufacturing-company/534/global-medisciences-limited-intraways-division,7.50
BEPLEX INJ FORTE,//www.medicineindia.org/medicine-brand-details/17431/beplex-inj-forte,Anglo- French Drugs & Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/169/anglo-french-drugs-industries-ltd,20.81
BISEKO,//www.medicineindia.org/medicine-brand-details/205/biseko,Paviour Pharma,//www.medicineindia.org/medicine-manufacturing-company/29/paviour-pharma,720.00
BEPLEX INJ,//www.medicineindia.org/medicine-brand-details/17430/beplex-inj,Anglo- French Drugs & Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/169/anglo-french-drugs-industries-ltd,3.81
BEPLEX FORTE AMP,//www.medicineindia.org/medicine-brand-details/17429/beplex-forte-amp,Anglo- French Drugs & Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/169/anglo-french-drugs-industries-ltd,3.81
BISEKO,//www.medicineindia.org/medicine-brand-details/205/biseko,Paviour Pharma,//www.medicineindia.org/medicine-manufacturing-company/29/paviour-pharma,1590.00
BUPRIGESIC,//www.medicineindia.org/medicine-brand-details/1267/buprigesic,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,108.00
BUPRIGESIC,//www.medicineindia.org/medicine-brand-details/1267/buprigesic,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,180.00
BUNOGESIC,//www.medicineindia.org/medicine-brand-details/1266/bunogesic,Rusan Healthcare Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/53/rusan-healthcare-pvt-ltd,10.50
BUNOGESIC,//www.medicineindia.org/medicine-brand-details/1266/bunogesic,Rusan Healthcare Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/53/rusan-healthcare-pvt-ltd,16.50
BUTRUM,//www.medicineindia.org/medicine-brand-details/1275/butrum,Aristo Pharmaceutical Ltd.,//www.medicineindia.org/medicine-manufacturing-company/45/aristo-pharmaceutical-ltd,75.00
BUTRUM,//www.medicineindia.org/medicine-brand-details/1275/butrum,Aristo Pharmaceutical Ltd.,//www.medicineindia.org/medicine-manufacturing-company/45/aristo-pharmaceutical-ltd,125.00
BELLOID,//www.medicineindia.org/medicine-brand-details/2836/belloid,Inga Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/91/inga-pharmaceuticals-pvt-ltd,77.50
BETABOLIN,//www.medicineindia.org/medicine-brand-details/15448/betabolin,Bestochem Formulations (I) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/259/bestochem-formulations-i-ltd,34.50
BETADECABOLIN,//www.medicineindia.org/medicine-brand-details/15449/betadecabolin,Bestochem Formulations (I) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/259/bestochem-formulations-i-ltd,57.50
BENICORT,//www.medicineindia.org/medicine-brand-details/2399/benicort,P & B Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/54/p-b-laboratories-p-ltd,5.29
BENZOSED,//www.medicineindia.org/medicine-brand-details/17113/benzosed,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,150.00
BIOGLANDIN,//www.medicineindia.org/medicine-brand-details/18888/bioglandin,United Biotech,//www.medicineindia.org/medicine-manufacturing-company/49/united-biotech,0.00
BURPEX,//www.medicineindia.org/medicine-brand-details/20371/burpex,Cadila Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/27/cadila-pharmaceuticals-ltd,0.00
BUFUNGAL,//www.medicineindia.org/medicine-brand-details/6623/bufungal,BUPA PHARMA,//www.medicineindia.org/medicine-manufacturing-company/552/bupa-pharma,156.00
BINACID.,//www.medicineindia.org/medicine-brand-details/12498/binacid,BIOCIN HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/379/biocin-healthcare,34.00
BISID-20,//www.medicineindia.org/medicine-brand-details/12502/bisid-20,BSA PHARMA,//www.medicineindia.org/medicine-manufacturing-company/731/bsa-pharma,36.00
BIOMAC,//www.medicineindia.org/medicine-brand-details/12500/biomac,GENESIS BIOTECH,//www.medicineindia.org/medicine-manufacturing-company/291/genesis-biotech,40.00
BONIPRAZ,//www.medicineindia.org/medicine-brand-details/12504/bonipraz,LITAKA PHARMA,//www.medicineindia.org/medicine-manufacturing-company/252/litaka-pharma,43.00
