medicine,description_url,company,company_url,price
CHOLSTIG,//www.medicineindia.org/medicine-brand-details/12220/cholstig,IND-SWIFT LIMITED (BIO SCIENCES),//www.medicineindia.org/medicine-manufacturing-company/89/ind-swift-limited-bio-sciences,5.00
CAPICARE,//www.medicineindia.org/medicine-brand-details/8414/capicare,Evacare (A Division of Olcare Ltd.),//www.medicineindia.org/medicine-manufacturing-company/425/evacare-a-division-of-olcare-ltd,20.00
CROMAL,//www.medicineindia.org/medicine-brand-details/10963/cromal,Protech Biosystems,//www.medicineindia.org/medicine-manufacturing-company/180/protech-biosystems,147.50
CYCLOZOBID,//www.medicineindia.org/medicine-brand-details/230/cyclozobid,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,3.50
CATH FLUSH,//www.medicineindia.org/medicine-brand-details/456/cath-flush,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,6.95
CINKONA,//www.medicineindia.org/medicine-brand-details/6855/cinkona,IPCA Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/156/ipca-laboratories-ltd,19.00
CARDIPLEGIN,//www.medicineindia.org/medicine-brand-details/8787/cardiplegin,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,800.00
CARNITOR,//www.medicineindia.org/medicine-brand-details/18166/carnitor,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,92.00
CYCLOPAM.,//www.medicineindia.org/medicine-brand-details/229/cyclopam,Indoco Remedies Ltd.,//www.medicineindia.org/medicine-manufacturing-company/63/indoco-remedies-ltd,6.50
CINAMICA,//www.medicineindia.org/medicine-brand-details/5498/cinamica,Plethico Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/227/plethico-pharmaceuticals,12.50
CALSYNAR,//www.medicineindia.org/medicine-brand-details/11873/calsynar,Rorer,//www.medicineindia.org/medicine-manufacturing-company/726/rorer,850.00
CYCLOKAPRON,//www.medicineindia.org/medicine-brand-details/19193/cyclokapron,Pfizer,//www.medicineindia.org/medicine-manufacturing-company/784/pfizer,0.00
CARDIOTONE,//www.medicineindia.org/medicine-brand-details/8379/cardiotone,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,3230.00
