medicine,description_url,company,company_url,price
DOLFRE 50,//www.medicineindia.org/medicine-brand-details/1293/dolfre-50,RAVENBHEL,//www.medicineindia.org/medicine-manufacturing-company/381/ravenbhel,22.00
DICLON-S,//www.medicineindia.org/medicine-brand-details/1482/diclon-s,DYNAMIC LABS,//www.medicineindia.org/medicine-manufacturing-company/351/dynamic-labs,5.00
DOLTA,//www.medicineindia.org/medicine-brand-details/1297/dolta,FLORA BIOTECH,//www.medicineindia.org/medicine-manufacturing-company/383/flora-biotech,11.00
DOLFRE 50,//www.medicineindia.org/medicine-brand-details/1293/dolfre-50,RAVENBHEL,//www.medicineindia.org/medicine-manufacturing-company/381/ravenbhel,13.00
DOLTA,//www.medicineindia.org/medicine-brand-details/1297/dolta,FLORA BIOTECH,//www.medicineindia.org/medicine-manufacturing-company/383/flora-biotech,21.00
DP-SPAS AMPOULE,//www.medicineindia.org/medicine-brand-details/2858/dp-spas-ampoule,Speciality Meditech Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/433/speciality-meditech-pvt-ltd,9.00
DUAL ANTIGEN,//www.medicineindia.org/medicine-brand-details/16/dual-antigen,Serum Institute of India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/2/serum-institute-of-india-ltd,78.10
DEEPAS,//www.medicineindia.org/medicine-brand-details/2856/deepas,ZOTA HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/208/zota-healthcare,12.00
DILOFEN INJ.,//www.medicineindia.org/medicine-brand-details/1495/dilofen-inj,P & B Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/54/p-b-laboratories-p-ltd,4.67
DUVADILAN,//www.medicineindia.org/medicine-brand-details/8748/duvadilan,Solvay Pharma India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/365/solvay-pharma-india-ltd,0.00
DIXIN,//www.medicineindia.org/medicine-brand-details/8356/dixin,Samarth Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/57/samarth-pharma-pvt-ltd,8.00
DIPRIVAN,//www.medicineindia.org/medicine-brand-details/17098/diprivan,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,348.64
DUVADILAN,//www.medicineindia.org/medicine-brand-details/8748/duvadilan,Solvay Pharma India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/365/solvay-pharma-india-ltd,0.00
