medicine,description_url,company,company_url,price
ESYLATE,//www.medicineindia.org/medicine-brand-details/8427/esylate,JACKSON LAB,//www.medicineindia.org/medicine-manufacturing-company/592/jackson-lab,20.00
EMESYS,//www.medicineindia.org/medicine-brand-details/10138/emesys,SYSTACARE REMEDIES,//www.medicineindia.org/medicine-manufacturing-company/126/systacare-remedies,16.00
EMESYS,//www.medicineindia.org/medicine-brand-details/10138/emesys,SYSTACARE REMEDIES,//www.medicineindia.org/medicine-manufacturing-company/126/systacare-remedies,32.00
EFCURE,//www.medicineindia.org/medicine-brand-details/6958/efcure,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,720.00
EPSOLIN,//www.medicineindia.org/medicine-brand-details/8369/epsolin,Zydus Neurosciences,//www.medicineindia.org/medicine-manufacturing-company/523/zydus-neurosciences,7.50
EFECIENT,//www.medicineindia.org/medicine-brand-details/18119/efecient,Panacea Biotec Ltd.,//www.medicineindia.org/medicine-manufacturing-company/5/panacea-biotec-ltd,250.00
ERGOMET,//www.medicineindia.org/medicine-brand-details/498/ergomet,M.M. Labs,//www.medicineindia.org/medicine-manufacturing-company/141/mm-labs,5.00
ERKACIN,//www.medicineindia.org/medicine-brand-details/5502/erkacin,Brown & Burk Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/348/brown-burk-pharmaceuticals-ltd,16.00
ETHAKLOT,//www.medicineindia.org/medicine-brand-details/8433/ethaklot,Cosme Healthcare (A Division of CFL Pharmaceuticals Ltd.),//www.medicineindia.org/medicine-manufacturing-company/494/cosme-healthcare-a-division-of-cfl-pharmaceuticals-ltd,19.00
ETHACID,//www.medicineindia.org/medicine-brand-details/8431/ethacid,Stadmed Private limited,//www.medicineindia.org/medicine-manufacturing-company/122/stadmed-private-limited,21.04
EMIGO,//www.medicineindia.org/medicine-brand-details/10140/emigo,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,14.00
EMIGO,//www.medicineindia.org/medicine-brand-details/10140/emigo,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,27.00
EMSETRON,//www.medicineindia.org/medicine-brand-details/10142/emsetron,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,49.75
EPSOLIN,//www.medicineindia.org/medicine-brand-details/8369/epsolin,Zydus Neurosciences,//www.medicineindia.org/medicine-manufacturing-company/523/zydus-neurosciences,9.86
ESGIPYRIN-DS,//www.medicineindia.org/medicine-brand-details/1508/esgipyrin-ds,SPPL (Sarabhai Piramal Pharmaceuticals Ltd.),//www.medicineindia.org/medicine-manufacturing-company/87/sppl-sarabhai-piramal-pharmaceuticals-ltd,29.00
ERKACIN,//www.medicineindia.org/medicine-brand-details/5502/erkacin,Brown & Burk Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/348/brown-burk-pharmaceuticals-ltd,33.50
ENDOGEST,//www.medicineindia.org/medicine-brand-details/15366/endogest,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,69.00
ENDOGEST,//www.medicineindia.org/medicine-brand-details/15366/endogest,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,130.00
ELMECOB INJ.,//www.medicineindia.org/medicine-brand-details/17344/elmecob-inj,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,40.00
ERKACIN,//www.medicineindia.org/medicine-brand-details/5502/erkacin,Brown & Burk Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/348/brown-burk-pharmaceuticals-ltd,59.00
EFFIDOX,//www.medicineindia.org/medicine-brand-details/5923/effidox,KIM LAB,//www.medicineindia.org/medicine-manufacturing-company/225/kim-lab,27.00
ESLU.,//www.medicineindia.org/medicine-brand-details/6541/eslu,BRISKON LAB,//www.medicineindia.org/medicine-manufacturing-company/176/briskon-lab,36.00
ELEMOD,//www.medicineindia.org/medicine-brand-details/9558/elemod,LANCER PHARMA,//www.medicineindia.org/medicine-manufacturing-company/640/lancer-pharma,22.00
EMOPAZ,//www.medicineindia.org/medicine-brand-details/12514/emopaz,ALDE MEDI IMPEX,//www.medicineindia.org/medicine-manufacturing-company/364/alde-medi-impex,34.00
EPRA,//www.medicineindia.org/medicine-brand-details/12517/epra,Andic Lifesciences Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/266/andic-lifesciences-pvt-ltd,35.00
ENDOCID-20,//www.medicineindia.org/medicine-brand-details/12516/endocid-20,ENDOCARD,//www.medicineindia.org/medicine-manufacturing-company/263/endocard,38.00
EASY,//www.medicineindia.org/medicine-brand-details/9557/easy,MEDO CHEM LAB,//www.medicineindia.org/medicine-manufacturing-company/478/medo-chem-lab,40.00
EFFERVEN,//www.medicineindia.org/medicine-brand-details/6959/efferven,Crosland Research Laboratories,//www.medicineindia.org/medicine-manufacturing-company/371/crosland-research-laboratories,359.00
