medicine,description_url,company,company_url,price
FIXX LB DS,//www.medicineindia.org/medicine-brand-details/18775/fixx-lb-ds,Unichem Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/19/unichem-laboratories-ltd,40.00
FRUSIM,//www.medicineindia.org/medicine-brand-details/309/frusim,Chandra Bhagat Pharma Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/90/chandra-bhagat-pharma-pvt-ltd,29.50
FERTIGYN,//www.medicineindia.org/medicine-brand-details/15279/fertigyn,Inca (Sun),//www.medicineindia.org/medicine-manufacturing-company/28/inca-sun,80.00
FERTIGYN,//www.medicineindia.org/medicine-brand-details/15279/fertigyn,Inca (Sun),//www.medicineindia.org/medicine-manufacturing-company/28/inca-sun,600.00
FASTOVORIN,//www.medicineindia.org/medicine-brand-details/7268/fastovorin,Cytomed (Alkem Laboratories Ltd.),//www.medicineindia.org/medicine-manufacturing-company/667/cytomed-alkem-laboratories-ltd,99.00
FLUANXOL DEPOT,//www.medicineindia.org/medicine-brand-details/10020/fluanxol-depot,CFL Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/157/cfl-pharmaceuticals-limited,76.09
FRU,//www.medicineindia.org/medicine-brand-details/307/fru,IND-SWIFT LIMITED (BIO SCIENCES),//www.medicineindia.org/medicine-manufacturing-company/89/ind-swift-limited-bio-sciences,2.83
FERTIGYN,//www.medicineindia.org/medicine-brand-details/15279/fertigyn,Inca (Sun),//www.medicineindia.org/medicine-manufacturing-company/28/inca-sun,292.00
FIVOCIL,//www.medicineindia.org/medicine-brand-details/16941/fivocil,Cytomed (Alkem Laboratories Ltd.),//www.medicineindia.org/medicine-manufacturing-company/667/cytomed-alkem-laboratories-ltd,11.00
FLUONCO,//www.medicineindia.org/medicine-brand-details/16945/fluonco,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,69.00
FLUTAS,//www.medicineindia.org/medicine-brand-details/16947/flutas,Intas Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/17/intas-pharmaceuticals-pvt-ltd,10.50
FRAGMIN,//www.medicineindia.org/medicine-brand-details/8332/fragmin,Pharmacia India (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/35/pharmacia-india-p-ltd,463.56
FASTOVORIN,//www.medicineindia.org/medicine-brand-details/7268/fastovorin,Cytomed (Alkem Laboratories Ltd.),//www.medicineindia.org/medicine-manufacturing-company/667/cytomed-alkem-laboratories-ltd,23.00
FLUANXOL DEPOT,//www.medicineindia.org/medicine-brand-details/10020/fluanxol-depot,CFL Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/157/cfl-pharmaceuticals-limited,147.42
FULSED,//www.medicineindia.org/medicine-brand-details/17114/fulsed,Ranbaxy Laboratories Limited,//www.medicineindia.org/medicine-manufacturing-company/132/ranbaxy-laboratories-limited,32.20
FENDROP,//www.medicineindia.org/medicine-brand-details/1343/fendrop,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,125.00
FENSTUD,//www.medicineindia.org/medicine-brand-details/1344/fenstud,Rusan Healthcare Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/53/rusan-healthcare-pvt-ltd,125.00
