medicine,description_url,company,company_url,price
GESICAIN 5% HEAVY,//www.medicineindia.org/medicine-brand-details/280/gesicain-5-heavy,SPPL (Sarabhai Piramal Pharmaceuticals Ltd.),//www.medicineindia.org/medicine-manufacturing-company/87/sppl-sarabhai-piramal-pharmaceuticals-ltd,71.05
GESTIMAX,//www.medicineindia.org/medicine-brand-details/15324/gestimax,Unimarck Pharma (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/99/unimarck-pharma-india-ltd,43.00
GESTONE,//www.medicineindia.org/medicine-brand-details/15371/gestone,Ferring Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/491/ferring-pharmaceuticals-pvt-ltd,45.00
GESTONE,//www.medicineindia.org/medicine-brand-details/15371/gestone,Ferring Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/491/ferring-pharmaceuticals-pvt-ltd,75.00
GESTIMAX,//www.medicineindia.org/medicine-brand-details/15324/gestimax,Unimarck Pharma (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/99/unimarck-pharma-india-ltd,71.00
GARAMYCIN,//www.medicineindia.org/medicine-brand-details/5439/garamycin,Fulford (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/111/fulford-india-ltd,3.95
GONAL-F,//www.medicineindia.org/medicine-brand-details/15264/gonal-f,Serum Institute of India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/2/serum-institute-of-india-ltd,1570.00
G.R.D.,//www.medicineindia.org/medicine-brand-details/17182/grd,Zydus Cadila,//www.medicineindia.org/medicine-manufacturing-company/26/zydus-cadila,147.80
GEKARE,//www.medicineindia.org/medicine-brand-details/7137/gekare,Glaxo Smithkline,//www.medicineindia.org/medicine-manufacturing-company/8/glaxo-smithkline,10.35
GEMCAL D3,//www.medicineindia.org/medicine-brand-details/21387/gemcal-d3,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,0.00
GITZER,//www.medicineindia.org/medicine-brand-details/21432/gitzer,Seagull Labs (I) Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/473/seagull-labs-i-pvt-ltd,0.00
GERCILLIN,//www.medicineindia.org/medicine-brand-details/21443/gercillin,German Remedies Limited,//www.medicineindia.org/medicine-manufacturing-company/307/german-remedies-limited,0.00
GLUCOMIND,//www.medicineindia.org/medicine-brand-details/21489/glucomind,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,0.00
GISSICOR,//www.medicineindia.org/medicine-brand-details/21589/gissicor,Sai Mirra,//www.medicineindia.org/medicine-manufacturing-company/877/sai-mirra,0.00
GRAPEX,//www.medicineindia.org/medicine-brand-details/21689/grapex,Maxmus International,//www.medicineindia.org/medicine-manufacturing-company/829/maxmus-international,0.00
GMAB PLUS,//www.medicineindia.org/medicine-brand-details/22765/gmab-plus,Biocon Limited,//www.medicineindia.org/medicine-manufacturing-company/699/biocon-limited,0.00
GENOZYME CAP.,//www.medicineindia.org/medicine-brand-details/14262/genozyme-cap,Geno Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/69/geno-pharmaceuticals-ltd,8.14
GABAFIX-M,//www.medicineindia.org/medicine-brand-details/21341/gabafix-m,Aareen,//www.medicineindia.org/medicine-manufacturing-company/920/aareen,9.66
GLORED,//www.medicineindia.org/medicine-brand-details/18025/glored,Indica Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/146/indica-laboratories-p-ltd,11.00
GYSTAT,//www.medicineindia.org/medicine-brand-details/522/gystat,Comed Chemicals Pvt. ltd.,//www.medicineindia.org/medicine-manufacturing-company/145/comed-chemicals-pvt-ltd,12.60
G-FOLVIN-Z,//www.medicineindia.org/medicine-brand-details/18039/g-folvin-z,Shrinivas (Gujarat) Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/143/shrinivas-gujarat-laboratories-pvt-ltd,19.70
GYNAE-C.V.P,//www.medicineindia.org/medicine-brand-details/521/gynae-cvp,USV-Corvette (A Div of USV Ltd.),//www.medicineindia.org/medicine-manufacturing-company/105/usv-corvette-a-div-of-usv-ltd,27.84
GLOBIRON,//www.medicineindia.org/medicine-brand-details/17806/globiron,Aglowmed Limited,//www.medicineindia.org/medicine-manufacturing-company/247/aglowmed-limited,38.00
GEFER,//www.medicineindia.org/medicine-brand-details/21545/gefer,Grandix Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/394/grandix-pharmaceuticals-ltd,39.00
GLOHAR-C,//www.medicineindia.org/medicine-brand-details/17876/glohar-c,Taurus Laboratories Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/121/taurus-laboratories-pvt-ltd,45.00
GESDOME,//www.medicineindia.org/medicine-brand-details/12665/gesdome,SBP H. CARE,//www.medicineindia.org/medicine-manufacturing-company/345/sbp-h-care,46.00
GLYCIRON,//www.medicineindia.org/medicine-brand-details/17974/glyciron,Bliss Chemicals & Pharmaceuticals India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/196/bliss-chemicals-pharmaceuticals-india-ltd,48.00
GERIDYS,//www.medicineindia.org/medicine-brand-details/21588/geridys,Alembic Ltd.,//www.medicineindia.org/medicine-manufacturing-company/52/alembic-ltd,56.00
GARDIAN,//www.medicineindia.org/medicine-brand-details/18264/gardian,Protech Biosystems,//www.medicineindia.org/medicine-manufacturing-company/180/protech-biosystems,60.00
GR-8,//www.medicineindia.org/medicine-brand-details/12666/gr-8,Franco Indian Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/170/franco-indian-pharmaceuticals-ltd,67.00
GLACE-X,//www.medicineindia.org/medicine-brand-details/21543/glace-x,GSK Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/874/gsk-pharmaceuticals,68.50
GUTRITE,//www.medicineindia.org/medicine-brand-details/21561/gutrite,FDC Ltd.,//www.medicineindia.org/medicine-manufacturing-company/96/fdc-ltd,70.00
GABAMAX,//www.medicineindia.org/medicine-brand-details/21342/gabamax,Aristo Pharmaceutical Ltd.,//www.medicineindia.org/medicine-manufacturing-company/45/aristo-pharmaceutical-ltd,71.56
GLOWCARE,//www.medicineindia.org/medicine-brand-details/21541/glowcare,AN Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/873/an-pharmaceuticals,79.00
GEMITROL,//www.medicineindia.org/medicine-brand-details/18535/gemitrol,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,80.00
GR8 OD,//www.medicineindia.org/medicine-brand-details/13039/gr8-od,Franco Indian Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/170/franco-indian-pharmaceuticals-ltd,80.00
GERIFLO,//www.medicineindia.org/medicine-brand-details/21411/geriflo,Alembic Ltd.,//www.medicineindia.org/medicine-manufacturing-company/52/alembic-ltd,80.00
GENCITROL,//www.medicineindia.org/medicine-brand-details/21399/gencitrol,Geno Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/69/geno-pharmaceuticals-ltd,80.43
GABASAFE PLUS,//www.medicineindia.org/medicine-brand-details/21362/gabasafe-plus,Aristo-Otsira Genitica,//www.medicineindia.org/medicine-manufacturing-company/922/aristo-otsira-genitica,87.14
GENEW,//www.medicineindia.org/medicine-brand-details/21480/genew,German Remedies Limited,//www.medicineindia.org/medicine-manufacturing-company/307/german-remedies-limited,90.00
