medicine,description_url,company,company_url,price
HEPAWIN.,//www.medicineindia.org/medicine-brand-details/14343/hepawin,Wave Bio-Tech Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/273/wave-bio-tech-pvt-ltd,149.00
HEPATECT-CP,//www.medicineindia.org/medicine-brand-details/94/hepatect-cp,Paviour Pharma,//www.medicineindia.org/medicine-manufacturing-company/29/paviour-pharma,3413.00
HAEMOCI INJ,//www.medicineindia.org/medicine-brand-details/14432/haemoci-inj,Ochoa Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/405/ochoa-laboratories-p-ltd,18.50
HEMOLOK,//www.medicineindia.org/medicine-brand-details/8492/hemolok,Themis Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/205/themis-pharmaceuticals-ltd,55.00
HEPLOCK,//www.medicineindia.org/medicine-brand-details/461/heplock,Gland Pharma Ltd.,//www.medicineindia.org/medicine-manufacturing-company/129/gland-pharma-ltd,6.95
HYOSWIFT,//www.medicineindia.org/medicine-brand-details/2839/hyoswift,IND-SWIFT LIMITED (BIO SCIENCES),//www.medicineindia.org/medicine-manufacturing-company/89/ind-swift-limited-bio-sciences,6.00
HEMSYL,//www.medicineindia.org/medicine-brand-details/8452/hemsyl,Indoco Remedies Ltd.,//www.medicineindia.org/medicine-manufacturing-company/63/indoco-remedies-ltd,20.00
HUMEGON,//www.medicineindia.org/medicine-brand-details/15294/humegon,Infar (India) Limited,//www.medicineindia.org/medicine-manufacturing-company/3/infar-india-limited,656.50
HYDROGEN PEROXIDE,//www.medicineindia.org/medicine-brand-details/19529/hydrogen-peroxide,AGRAWAL,//www.medicineindia.org/medicine-manufacturing-company/149/agrawal,0.00
HARTY,//www.medicineindia.org/medicine-brand-details/21612/harty,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,0.00
HEY FORTE,//www.medicineindia.org/medicine-brand-details/21686/hey-forte,J S Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/998/j-s-laboratories-ltd,0.00
HELKOSS D,//www.medicineindia.org/medicine-brand-details/12368/helkoss-d,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,7.00
HEMEXEL PLUS,//www.medicineindia.org/medicine-brand-details/17925/hemexel-plus,Lifeon Paediatrics Limited,//www.medicineindia.org/medicine-manufacturing-company/248/lifeon-paediatrics-limited,7.22
HEPASULES-F,//www.medicineindia.org/medicine-brand-details/17939/hepasules-f,Biological E. Limited,//www.medicineindia.org/medicine-manufacturing-company/7/biological-e-limited,7.40
HEPASULES-F.,//www.medicineindia.org/medicine-brand-details/14312/hepasules-f,Biological E. Limited,//www.medicineindia.org/medicine-manufacturing-company/7/biological-e-limited,7.91
HAEMGLOW,//www.medicineindia.org/medicine-brand-details/17924/haemglow,Finecure Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/179/finecure-pharmaceuticals,11.75
HIPRES-D,//www.medicineindia.org/medicine-brand-details/7354/hipres-d,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,15.25
