medicine,description_url,company,company_url,price
INTRAVAL SODIUM,//www.medicineindia.org/medicine-brand-details/17090/intraval-sodium,Rhone Poulenc (I) Ltd./Rorer,//www.medicineindia.org/medicine-manufacturing-company/713/rhone-poulenc-i-ltdrorer,2446.35
ISOPRIN,//www.medicineindia.org/medicine-brand-details/8403/isoprin,Unichem Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/19/unichem-laboratories-ltd,5.63
ISOSOL,//www.medicineindia.org/medicine-brand-details/8404/isosol,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,72.00
INDOX,//www.medicineindia.org/medicine-brand-details/513/indox,IND-SWIFT LIMITED (BIO SCIENCES),//www.medicineindia.org/medicine-manufacturing-company/89/ind-swift-limited-bio-sciences,14.00
INTRAVAL SODIUM,//www.medicineindia.org/medicine-brand-details/17090/intraval-sodium,Rhone Poulenc (I) Ltd./Rorer,//www.medicineindia.org/medicine-manufacturing-company/713/rhone-poulenc-i-ltdrorer,1587.93
INDICONTIN,//www.medicineindia.org/medicine-brand-details/8201/indicontin,Modi-Mundi Pharma Limited,//www.medicineindia.org/medicine-manufacturing-company/51/modi-mundi-pharma-limited,81.95
INSUMIN,//www.medicineindia.org/medicine-brand-details/21743/insumin,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,0.00
ISOFLAV,//www.medicineindia.org/medicine-brand-details/21770/isoflav,Raptakos Brett & Co. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/46/raptakos-brett-co-ltd,0.00
ITORAB,//www.medicineindia.org/medicine-brand-details/21779/itorab,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,0.00
INSUMIN PLUS,//www.medicineindia.org/medicine-brand-details/21790/insumin-plus,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,0.00
IZEN,//www.medicineindia.org/medicine-brand-details/21800/izen,Klar Sehen Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/59/klar-sehen-pvt-ltd,0.00
INSEPTIN-MF,//www.medicineindia.org/medicine-brand-details/13645/inseptin-mf,Indian Drugs & Pharmaceuticals Ltd. (IDPL),//www.medicineindia.org/medicine-manufacturing-company/79/indian-drugs-pharmaceuticals-ltd-idpl,8.27
IREX-12,//www.medicineindia.org/medicine-brand-details/17931/irex-12,Micro Labs Ltd.,//www.medicineindia.org/medicine-manufacturing-company/202/micro-labs-ltd,10.00
IROPLEX-C,//www.medicineindia.org/medicine-brand-details/18043/iroplex-c,Acme Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/331/acme-pharmaceuticals,12.00
IRONEED-SR,//www.medicineindia.org/medicine-brand-details/17947/ironeed-sr,Micro Nova Pharmaceuticals Ltd,//www.medicineindia.org/medicine-manufacturing-company/303/micro-nova-pharmaceuticals-ltd,14.00
IBUBID PLUS,//www.medicineindia.org/medicine-brand-details/1209/ibubid-plus,Solares (A division of Sun),//www.medicineindia.org/medicine-manufacturing-company/359/solares-a-division-of-sun,14.58
IBRUVON FORTE,//www.medicineindia.org/medicine-brand-details/1349/ibruvon-forte,Macleods Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/85/macleods-pharmaceuticals-pvt-ltd,16.00
IBRUVON FORTE.,//www.medicineindia.org/medicine-brand-details/1208/ibruvon-forte,Macleods Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/85/macleods-pharmaceuticals-pvt-ltd,16.00
INMECIN-P,//www.medicineindia.org/medicine-brand-details/2005/inmecin-p,E.M. Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/468/em-pharmaceuticals-pvt-ltd,22.00
I-VIT,//www.medicineindia.org/medicine-brand-details/18210/i-vit,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,25.17
INLOXY,//www.medicineindia.org/medicine-brand-details/3424/inloxy,Intra Labs,//www.medicineindia.org/medicine-manufacturing-company/73/intra-labs,26.90
IROCAFE,//www.medicineindia.org/medicine-brand-details/17860/irocafe,Finecure Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/179/finecure-pharmaceuticals,36.00
INTECAR,//www.medicineindia.org/medicine-brand-details/11425/intecar,Albert David Limited,//www.medicineindia.org/medicine-manufacturing-company/37/albert-david-limited,45.00
IMAX FORTE,//www.medicineindia.org/medicine-brand-details/21791/imax-forte,Aristo-Otsira Genitica,//www.medicineindia.org/medicine-manufacturing-company/922/aristo-otsira-genitica,50.27
IRON-UP PLUS,//www.medicineindia.org/medicine-brand-details/21763/iron-up-plus,Sarthi Pharma,//www.medicineindia.org/medicine-manufacturing-company/1003/sarthi-pharma,55.00
