medicine,description_url,company,company_url,price
JINCLOX-LB,//www.medicineindia.org/medicine-brand-details/3511/jinclox-lb,OM BIOTEC,//www.medicineindia.org/medicine-manufacturing-company/188/om-biotec,45.00
JECTOCOS CAPS,//www.medicineindia.org/medicine-brand-details/17834/jectocos-caps,CFL Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/157/cfl-pharmaceuticals-limited,54.01
JUBLIN,//www.medicineindia.org/medicine-brand-details/21822/jublin,D.R. John Lab,//www.medicineindia.org/medicine-manufacturing-company/899/dr-john-lab,70.80
JUBLIN-M,//www.medicineindia.org/medicine-brand-details/21823/jublin-m,D.R. John Lab,//www.medicineindia.org/medicine-manufacturing-company/899/dr-john-lab,119.50
JOCAL-C,//www.medicineindia.org/medicine-brand-details/21806/jocal-c,D.R. John Lab,//www.medicineindia.org/medicine-manufacturing-company/899/dr-john-lab,99.50
JP-CILIN,//www.medicineindia.org/medicine-brand-details/3120/jp-cilin,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,31.00
JAIZZY,//www.medicineindia.org/medicine-brand-details/11365/jaizzy,Aamorb Pharmaceuitcals Pvt.Ltd,//www.medicineindia.org/medicine-manufacturing-company/424/aamorb-pharmaceuitcals-pvtltd,79.00
JOINCERIN,//www.medicineindia.org/medicine-brand-details/11366/joincerin,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,133.00
JP-CILIN,//www.medicineindia.org/medicine-brand-details/3120/jp-cilin,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,56.00
JONAC,//www.medicineindia.org/medicine-brand-details/1515/jonac,German Remedies Limited,//www.medicineindia.org/medicine-manufacturing-company/307/german-remedies-limited,15.86
J.P. TONE-TR,//www.medicineindia.org/medicine-brand-details/18007/jp-tone-tr,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,43.00
JETMOX,//www.medicineindia.org/medicine-brand-details/3252/jetmox,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,25.71
JUNIMOL SYRUP,//www.medicineindia.org/medicine-brand-details/21824/junimol-syrup,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,22.00
JUST TEARS,//www.medicineindia.org/medicine-brand-details/21828/just-tears,Sunways India,//www.medicineindia.org/medicine-manufacturing-company/909/sunways-india,59.40
JONAC GEL,//www.medicineindia.org/medicine-brand-details/11504/jonac-gel,German Remedies Limited,//www.medicineindia.org/medicine-manufacturing-company/307/german-remedies-limited,34.40
JECTOCOS INJ.,//www.medicineindia.org/medicine-brand-details/18122/jectocos-inj,CFL Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/157/cfl-pharmaceuticals-limited,23.00
JECTOCOS PLUS INJ.,//www.medicineindia.org/medicine-brand-details/18120/jectocos-plus-inj,CFL Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/157/cfl-pharmaceuticals-limited,21.00
JONAC,//www.medicineindia.org/medicine-brand-details/1515/jonac,German Remedies Limited,//www.medicineindia.org/medicine-manufacturing-company/307/german-remedies-limited,4.04
JELLICOR,//www.medicineindia.org/medicine-brand-details/10522/jellicor,Pfizer Limited,//www.medicineindia.org/medicine-manufacturing-company/15/pfizer-limited,28.50
JAGQUIN,//www.medicineindia.org/medicine-brand-details/6445/jagquin,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,13.64
