medicine,description_url,company,company_url,price
LORNIT,//www.medicineindia.org/medicine-brand-details/14360/lornit,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,165.00
LACTISYN,//www.medicineindia.org/medicine-brand-details/17784/lactisyn,Franco Indian Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/170/franco-indian-pharmaceuticals-ltd,48.90
LUPRIDE,//www.medicineindia.org/medicine-brand-details/17082/lupride,Inca (Sun),//www.medicineindia.org/medicine-manufacturing-company/28/inca-sun,474.25
LUPRIDE,//www.medicineindia.org/medicine-brand-details/17082/lupride,Inca (Sun),//www.medicineindia.org/medicine-manufacturing-company/28/inca-sun,176.85
LASTET,//www.medicineindia.org/medicine-brand-details/16980/lastet,Khandelwal Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/98/khandelwal-laboratories-ltd,274.86
LEUCOVORIN,//www.medicineindia.org/medicine-brand-details/7270/leucovorin,Dabur Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/237/dabur-pharmaceuticals-ltd,100.50
LABESOL,//www.medicineindia.org/medicine-brand-details/7386/labesol,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,265.00
LEUCOVORIN,//www.medicineindia.org/medicine-brand-details/7270/leucovorin,Dabur Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/237/dabur-pharmaceuticals-ltd,20.50
LOMORIN,//www.medicineindia.org/medicine-brand-details/8565/lomorin,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,1610.00
LOX HEAVY,//www.medicineindia.org/medicine-brand-details/295/lox-heavy,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,99.00
LORI,//www.medicineindia.org/medicine-brand-details/484/lori,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,108.00
LOMORIN,//www.medicineindia.org/medicine-brand-details/8565/lomorin,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,2150.00
LARITHER,//www.medicineindia.org/medicine-brand-details/6905/larither,IPCA Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/156/ipca-laboratories-ltd,68.00
LIVOGEN CAPTAB,//www.medicineindia.org/medicine-brand-details/17913/livogen-captab,E.Merck (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/119/emerck-india-ltd,16.11
LIVOGEN-Z,//www.medicineindia.org/medicine-brand-details/17917/livogen-z,Allenburys,//www.medicineindia.org/medicine-manufacturing-company/82/allenburys,17.25
LANOL,//www.medicineindia.org/medicine-brand-details/801/lanol,Lyka Hetro Labs. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/84/lyka-hetro-labs-ltd,16.25
LANOL,//www.medicineindia.org/medicine-brand-details/801/lanol,Lyka Hetro Labs. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/84/lyka-hetro-labs-ltd,9.75
LAPANTO DSR,//www.medicineindia.org/medicine-brand-details/21918/lapanto-dsr,Core Gestra Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/931/core-gestra-pvt-ltd,0.00
LINICLOX-L,//www.medicineindia.org/medicine-brand-details/22006/liniclox-l,Sarthi Pharma,//www.medicineindia.org/medicine-manufacturing-company/1003/sarthi-pharma,0.00
LIPICURE-AS,//www.medicineindia.org/medicine-brand-details/22019/lipicure-as,Intas Pharmaceuticals-Extras,//www.medicineindia.org/medicine-manufacturing-company/871/intas-pharmaceuticals-extras,0.00
LIPICURE-AS,//www.medicineindia.org/medicine-brand-details/22019/lipicure-as,Intas Pharmaceuticals-Extras,//www.medicineindia.org/medicine-manufacturing-company/871/intas-pharmaceuticals-extras,0.00
LYCO-Q,//www.medicineindia.org/medicine-brand-details/22174/lyco-q,TTK Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/125/ttk-healthcare-ltd,0.00
LYCOZIA,//www.medicineindia.org/medicine-brand-details/22204/lycozia,Canixa Life Sciences Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/888/canixa-life-sciences-pvt-ltd,0.00
LYCOVIT,//www.medicineindia.org/medicine-brand-details/22205/lycovit,Bioplasma Immunological Res,//www.medicineindia.org/medicine-manufacturing-company/908/bioplasma-immunological-res,0.00
LUXURY,//www.medicineindia.org/medicine-brand-details/22208/luxury,Ronyd Healthcare,//www.medicineindia.org/medicine-manufacturing-company/914/ronyd-healthcare,0.00
LYCOSYN,//www.medicineindia.org/medicine-brand-details/22210/lycosyn,Leeford Healthcare Ltd,//www.medicineindia.org/medicine-manufacturing-company/994/leeford-healthcare-ltd,0.00
LYCOSTREN,//www.medicineindia.org/medicine-brand-details/22211/lycostren,Strenuous Healthcare,//www.medicineindia.org/medicine-manufacturing-company/1016/strenuous-healthcare,0.00
LYCO-4,//www.medicineindia.org/medicine-brand-details/22236/lyco-4,Wyzax Laboratories,//www.medicineindia.org/medicine-manufacturing-company/985/wyzax-laboratories,0.00
LACTOCOM FORTE,//www.medicineindia.org/medicine-brand-details/17502/lactocom-forte,IRM Pharma,//www.medicineindia.org/medicine-manufacturing-company/369/irm-pharma,11.19
LUPIZYME,//www.medicineindia.org/medicine-brand-details/14266/lupizyme,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,13.00
LYSICON-V e ZINC,//www.medicineindia.org/medicine-brand-details/18139/lysicon-v-e-zinc,Klar Sehen Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/59/klar-sehen-pvt-ltd,19.00
LOBAIN,//www.medicineindia.org/medicine-brand-details/1351/lobain,DWD Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/222/dwd-pharmaceuticals-ltd,21.00
LAVAZYME.,//www.medicineindia.org/medicine-brand-details/14313/lavazyme,Mimec Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/313/mimec-pharma-pvt-ltd,25.00
LONGIVIT FRS,//www.medicineindia.org/medicine-brand-details/18211/longivit-frs,IRM Pharma,//www.medicineindia.org/medicine-manufacturing-company/369/irm-pharma,28.19
LACTOBACIL,//www.medicineindia.org/medicine-brand-details/14202/lactobacil,Infar (India) Limited,//www.medicineindia.org/medicine-manufacturing-company/3/infar-india-limited,29.50
LACLOMOX,//www.medicineindia.org/medicine-brand-details/3560/laclomox,MERIDIAN MEDICARE,//www.medicineindia.org/medicine-manufacturing-company/269/meridian-medicare,30.00
LIVOSIL-B,//www.medicineindia.org/medicine-brand-details/14326/livosil-b,Centaur Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/60/centaur-laboratories-p-ltd,32.95
LETCLOM,//www.medicineindia.org/medicine-brand-details/3515/letclom,RAMOSE LAB,//www.medicineindia.org/medicine-manufacturing-company/461/ramose-lab,35.00
LIPIKIND PLUS,//www.medicineindia.org/medicine-brand-details/22024/lipikind-plus,Mankind Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/251/mankind-pharma-pvt-ltd,36.80
LAVIEST,//www.medicineindia.org/medicine-brand-details/17788/laviest,Franco Indian Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/170/franco-indian-pharmaceuticals-ltd,36.90
LOMECID-D 10,//www.medicineindia.org/medicine-brand-details/12670/lomecid-d-10,Taurus Laboratories Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/121/taurus-laboratories-pvt-ltd,39.80
LYCOSTAR-CM,//www.medicineindia.org/medicine-brand-details/18255/lycostar-cm,Mankind Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/251/mankind-pharma-pvt-ltd,39.90
LOCID-D,//www.medicineindia.org/medicine-brand-details/13018/locid-d,Psychotropics India Limited (PIL),//www.medicineindia.org/medicine-manufacturing-company/297/psychotropics-india-limited-pil,40.00
LAM,//www.medicineindia.org/medicine-brand-details/18082/lam,DALLAS PHARMA,//www.medicineindia.org/medicine-manufacturing-company/400/dallas-pharma,40.00
LUPOME D,//www.medicineindia.org/medicine-brand-details/12672/lupome-d,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,41.00
LIZA-30,//www.medicineindia.org/medicine-brand-details/12453/liza-30,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,43.00
LACTOCLOX,//www.medicineindia.org/medicine-brand-details/3514/lactoclox,Brussels Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/277/brussels-laboratories-pvt-ltd,44.00
LANCIDOM,//www.medicineindia.org/medicine-brand-details/13010/lancidom,Brown & Burk Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/348/brown-burk-pharmaceuticals-ltd,44.00
LOMECID-D 20,//www.medicineindia.org/medicine-brand-details/12671/lomecid-d-20,Taurus Laboratories Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/121/taurus-laboratories-pvt-ltd,46.00
LIRINOX,//www.medicineindia.org/medicine-brand-details/3169/lirinox,ALPHA DRUGS & PHARMA,//www.medicineindia.org/medicine-manufacturing-company/275/alpha-drugs-pharma,48.00
LANIP-D,//www.medicineindia.org/medicine-brand-details/13011/lanip-d,WINSOME LAB,//www.medicineindia.org/medicine-manufacturing-company/271/winsome-lab,48.00
LANCER D,//www.medicineindia.org/medicine-brand-details/13009/lancer-d,PFISCAR INDIA,//www.medicineindia.org/medicine-manufacturing-company/81/pfiscar-india,48.00
LEZO-AM,//www.medicineindia.org/medicine-brand-details/18439/lezo-am,CADILA H,//www.medicineindia.org/medicine-manufacturing-company/155/cadila-h,49.00
LFAST-AM,//www.medicineindia.org/medicine-brand-details/18440/lfast-am,CADILA H,//www.medicineindia.org/medicine-manufacturing-company/155/cadila-h,49.00
LEVOCET PLUS,//www.medicineindia.org/medicine-brand-details/21976/levocet-plus,Lyka Hetro Labs. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/84/lyka-hetro-labs-ltd,49.00
L DOM,//www.medicineindia.org/medicine-brand-details/13008/l-dom,SYMBIOSIS PHARMA,//www.medicineindia.org/medicine-manufacturing-company/454/symbiosis-pharma,50.00
LANS DX,//www.medicineindia.org/medicine-brand-details/13012/lans-dx,Recon Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/128/recon-healthcare-ltd,51.00
LACOM,//www.medicineindia.org/medicine-brand-details/3513/lacom,Comed Chemicals Pvt. ltd.,//www.medicineindia.org/medicine-manufacturing-company/145/comed-chemicals-pvt-ltd,52.00
LAVETA-A,//www.medicineindia.org/medicine-brand-details/21926/laveta-a,Alembic Ltd.,//www.medicineindia.org/medicine-manufacturing-company/52/alembic-ltd,52.50
LANZEE-DM,//www.medicineindia.org/medicine-brand-details/13014/lanzee-dm,Zee Laboratories,//www.medicineindia.org/medicine-manufacturing-company/110/zee-laboratories,55.00
LANSORIV D,//www.medicineindia.org/medicine-brand-details/13013/lansoriv-d,East African (I) Remedies Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/187/east-african-i-remedies-pvt-ltd,59.00
LIVAGE,//www.medicineindia.org/medicine-brand-details/182/livage,Aristo Pharmaceutical Ltd.,//www.medicineindia.org/medicine-manufacturing-company/45/aristo-pharmaceutical-ltd,60.54
LYTO,//www.medicineindia.org/medicine-brand-details/22209/lyto,Comed Chemicals Pvt. ltd.,//www.medicineindia.org/medicine-manufacturing-company/145/comed-chemicals-pvt-ltd,65.00
LERAB DSR,//www.medicineindia.org/medicine-brand-details/21951/lerab-dsr,Larsan Healthcare Pvt.Ltd.,//www.medicineindia.org/medicine-manufacturing-company/812/larsan-healthcare-pvtltd,69.00
LYSER-A,//www.medicineindia.org/medicine-brand-details/3580/lyser-a,Comed Chemicals Pvt. ltd.,//www.medicineindia.org/medicine-manufacturing-company/145/comed-chemicals-pvt-ltd,70.00
LINIPAN DSR,//www.medicineindia.org/medicine-brand-details/22017/linipan-dsr,Sarthi Pharma,//www.medicineindia.org/medicine-manufacturing-company/1003/sarthi-pharma,73.00
LUTIVIT,//www.medicineindia.org/medicine-brand-details/18235/lutivit,Micro Labs Ltd.,//www.medicineindia.org/medicine-manufacturing-company/202/micro-labs-ltd,80.00
LYSER-A PLUS,//www.medicineindia.org/medicine-brand-details/3581/lyser-a-plus,Comed Chemicals Pvt. ltd.,//www.medicineindia.org/medicine-manufacturing-company/145/comed-chemicals-pvt-ltd,85.00
LYCORICH,//www.medicineindia.org/medicine-brand-details/22176/lycorich,Ion Healthcare Ltd,//www.medicineindia.org/medicine-manufacturing-company/1001/ion-healthcare-ltd,86.50
LYCOBAL FORTE,//www.medicineindia.org/medicine-brand-details/22203/lycobal-forte,Fourrts (India) Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/62/fourrts-india-laboratories-pvt-ltd,97.50
