medicine,description_url,company,company_url,price
M-VAC,//www.medicineindia.org/medicine-brand-details/14/m-vac,Serum Institute of India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/2/serum-institute-of-india-ltd,33.42
MAXIMIN INFUSION,//www.medicineindia.org/medicine-brand-details/17668/maximin-infusion,Anglo- French Drugs & Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/169/anglo-french-drugs-industries-ltd,6.88
MYO-PYROLATE,//www.medicineindia.org/medicine-brand-details/12221/myo-pyrolate,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,162.00
MEM,//www.medicineindia.org/medicine-brand-details/503/mem,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,153.00
MARCAINE,//www.medicineindia.org/medicine-brand-details/19041/marcaine,Kodak,//www.medicineindia.org/medicine-manufacturing-company/767/kodak,0.00
MYOLONG,//www.medicineindia.org/medicine-brand-details/8383/myolong,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,900.00
MIGRANIL INJECTION,//www.medicineindia.org/medicine-brand-details/2817/migranil-injection,Inga Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/91/inga-pharmaceuticals-pvt-ltd,45.40
MUCOTYLE.,//www.medicineindia.org/medicine-brand-details/7243/mucotyle,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,625.00
METOLAR,//www.medicineindia.org/medicine-brand-details/2671/metolar,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,10.60
MUCOMIX.,//www.medicineindia.org/medicine-brand-details/7240/mucomix,Samarth Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/57/samarth-pharma-pvt-ltd,120.00
MILICOR,//www.medicineindia.org/medicine-brand-details/8381/milicor,Samarth Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/57/samarth-pharma-pvt-ltd,845.00
