medicine,description_url,company,company_url,price
NUVOLT PLUS AMP,//www.medicineindia.org/medicine-brand-details/17781/nuvolt-plus-amp,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,11.50
NORDREN,//www.medicineindia.org/medicine-brand-details/8399/nordren,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,183.20
NEUROBEX,//www.medicineindia.org/medicine-brand-details/17743/neurobex,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,6.90
NEOSTIGMINE,//www.medicineindia.org/medicine-brand-details/12223/neostigmine,ICI India Limited,//www.medicineindia.org/medicine-manufacturing-company/508/ici-india-limited,4.70
NEOSTIGMINE,//www.medicineindia.org/medicine-brand-details/12223/neostigmine,ICI India Limited,//www.medicineindia.org/medicine-manufacturing-company/508/ici-india-limited,13.85
NEFRISOL,//www.medicineindia.org/medicine-brand-details/8394/nefrisol,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,190.00
NOBLIGAN,//www.medicineindia.org/medicine-brand-details/1302/nobligan,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,25.33
NYRIN,//www.medicineindia.org/medicine-brand-details/7271/nyrin,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,990.00
NODRESOL,//www.medicineindia.org/medicine-brand-details/8396/nodresol,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,240.00
NEUROPHEN,//www.medicineindia.org/medicine-brand-details/15475/neurophen,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,34.48
NITROSOL,//www.medicineindia.org/medicine-brand-details/378/nitrosol,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,225.00
NITROVIR,//www.medicineindia.org/medicine-brand-details/379/nitrovir,Chandra Bhagat Pharma Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/90/chandra-bhagat-pharma-pvt-ltd,250.00
NEOPAM,//www.medicineindia.org/medicine-brand-details/7251/neopam,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,760.50
NIG,//www.medicineindia.org/medicine-brand-details/368/nig,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,205.00
NT-NATAL,//www.medicineindia.org/medicine-brand-details/15332/nt-natal,Kee Pharma Ltd.,//www.medicineindia.org/medicine-manufacturing-company/335/kee-pharma-ltd,51.70
NYRIN,//www.medicineindia.org/medicine-brand-details/7271/nyrin,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,275.00
NUPIRACIM,//www.medicineindia.org/medicine-brand-details/10065/nupiracim,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,240.00
NORAD,//www.medicineindia.org/medicine-brand-details/8398/norad,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,675.00
NITROJECT,//www.medicineindia.org/medicine-brand-details/374/nitroject,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,73.50
NIPRESS,//www.medicineindia.org/medicine-brand-details/7412/nipress,Samarth Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/57/samarth-pharma-pvt-ltd,123.00
NYRIN,//www.medicineindia.org/medicine-brand-details/7271/nyrin,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,2920.00
NOBLIGAN,//www.medicineindia.org/medicine-brand-details/1302/nobligan,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,13.71
NITROSOL,//www.medicineindia.org/medicine-brand-details/378/nitrosol,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,350.00
NITROVIR,//www.medicineindia.org/medicine-brand-details/379/nitrovir,Chandra Bhagat Pharma Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/90/chandra-bhagat-pharma-pvt-ltd,400.00
NIG,//www.medicineindia.org/medicine-brand-details/368/nig,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,304.00
NT-NATAL,//www.medicineindia.org/medicine-brand-details/15332/nt-natal,Kee Pharma Ltd.,//www.medicineindia.org/medicine-manufacturing-company/335/kee-pharma-ltd,83.00
NIMULID SAFE INJECT,//www.medicineindia.org/medicine-brand-details/1103/nimulid-safe-inject,Panacea Biotec Ltd.,//www.medicineindia.org/medicine-manufacturing-company/5/panacea-biotec-ltd,14.95
NMF-E,//www.medicineindia.org/medicine-brand-details/22875/nmf-e,Palsons Drugs & Chem Indust,//www.medicineindia.org/medicine-manufacturing-company/830/palsons-drugs-chem-indust,0.00
NOVALE,//www.medicineindia.org/medicine-brand-details/22922/novale,Palsons Drugs & Chem Indust,//www.medicineindia.org/medicine-manufacturing-company/830/palsons-drugs-chem-indust,75.00
NASOCLEAR,//www.medicineindia.org/medicine-brand-details/16774/nasoclear,Liva Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/195/liva-healthcare-ltd,18.00
NASOCLEAR PLUS,//www.medicineindia.org/medicine-brand-details/16776/nasoclear-plus,Liva Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/195/liva-healthcare-ltd,23.00
NUPIRACIM,//www.medicineindia.org/medicine-brand-details/10065/nupiracim,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,225.00
NATVIE-C,//www.medicineindia.org/medicine-brand-details/22697/natvie-c,Franco Indian Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/170/franco-indian-pharmaceuticals-ltd,0.00
NATVIE-C,//www.medicineindia.org/medicine-brand-details/22697/natvie-c,Franco Indian Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/170/franco-indian-pharmaceuticals-ltd,0.00
NERVIGARD-XL,//www.medicineindia.org/medicine-brand-details/22756/nervigard-xl,Organic Labs Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/840/organic-labs-pvt-ltd,0.00
NERVZ,//www.medicineindia.org/medicine-brand-details/22774/nervz,Intas Pharmaceuticals-Suprima,//www.medicineindia.org/medicine-manufacturing-company/872/intas-pharmaceuticals-suprima,0.00
NEUBEN,//www.medicineindia.org/medicine-brand-details/22781/neuben,Icon Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/862/icon-life-sciences,0.00
NERVIGARD-GM,//www.medicineindia.org/medicine-brand-details/22803/nervigard-gm,Organic Labs Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/840/organic-labs-pvt-ltd,0.00
NERVZ-B,//www.medicineindia.org/medicine-brand-details/22834/nervz-b,Intas Pharmaceuticals-Suprima,//www.medicineindia.org/medicine-manufacturing-company/872/intas-pharmaceuticals-suprima,0.00
NUMELIN,//www.medicineindia.org/medicine-brand-details/22959/numelin,Intas Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/17/intas-pharmaceuticals-pvt-ltd,0.00
NUPENTA-DSR,//www.medicineindia.org/medicine-brand-details/22964/nupenta-dsr,Macleods Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/85/macleods-pharmaceuticals-pvt-ltd,0.00
NEUROTRATE,//www.medicineindia.org/medicine-brand-details/22796/neurotrate,German Remedies Limited,//www.medicineindia.org/medicine-manufacturing-company/307/german-remedies-limited,6.56
NEUROTRAT CAPS.,//www.medicineindia.org/medicine-brand-details/17682/neurotrat-caps,German Remedies Limited,//www.medicineindia.org/medicine-manufacturing-company/307/german-remedies-limited,9.45
NESTOSULE-Z,//www.medicineindia.org/medicine-brand-details/17755/nestosule-z,Nestor Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/545/nestor-pharmaceuticals-limited,9.95
NEUROSPAS,//www.medicineindia.org/medicine-brand-details/2948/neurospas,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,11.72
NUTROLIN-B PLUS CAPS,//www.medicineindia.org/medicine-brand-details/17499/nutrolin-b-plus-caps,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,11.76
NEUROVON,//www.medicineindia.org/medicine-brand-details/18589/neurovon,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,13.50
NOCOLD SR,//www.medicineindia.org/medicine-brand-details/10456/nocold-sr,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,17.00
NEUROBEX TAB,//www.medicineindia.org/medicine-brand-details/17503/neurobex-tab,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,17.50
NUTRIHAR CAP,//www.medicineindia.org/medicine-brand-details/17932/nutrihar-cap,Taurus Laboratories Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/121/taurus-laboratories-pvt-ltd,19.80
NOR-B CAP,//www.medicineindia.org/medicine-brand-details/17506/nor-b-cap,Moraceae Lab Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/173/moraceae-lab-pvt-ltd,20.00
NEUROBEX-Z,//www.medicineindia.org/medicine-brand-details/17681/neurobex-z,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,20.00
NODIMOX,//www.medicineindia.org/medicine-brand-details/3572/nodimox,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,21.00
NIMELIDE FEN,//www.medicineindia.org/medicine-brand-details/2183/nimelide-fen,Cadila Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/27/cadila-pharmaceuticals-ltd,21.00
NECLOX-LS,//www.medicineindia.org/medicine-brand-details/3486/neclox-ls,Nestor Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/545/nestor-pharmaceuticals-limited,23.30
NITREN,//www.medicineindia.org/medicine-brand-details/8284/nitren,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,24.00
NUMOX LB,//www.medicineindia.org/medicine-brand-details/3524/numox-lb,Jenburkt Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/361/jenburkt-pharmaceuticals-ltd,24.90
NIMVISTA-D,//www.medicineindia.org/medicine-brand-details/2184/nimvista-d,Cadila Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/27/cadila-pharmaceuticals-ltd,25.00
NATACLOX,//www.medicineindia.org/medicine-brand-details/3433/nataclox,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,29.35
NODIMOX,//www.medicineindia.org/medicine-brand-details/3572/nodimox,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,33.00
NEUTRAL-O SR,//www.medicineindia.org/medicine-brand-details/12678/neutral-o-sr,Skymax Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/385/skymax-laboratories-pvt-ltd,33.00
NEUTRAL-O 10,//www.medicineindia.org/medicine-brand-details/12676/neutral-o-10,Skymax Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/385/skymax-laboratories-pvt-ltd,35.00
NOKLOT CV,//www.medicineindia.org/medicine-brand-details/22896/noklot-cv,Cadila Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/27/cadila-pharmaceuticals-ltd,36.80
NEXPRO RD,//www.medicineindia.org/medicine-brand-details/13007/nexpro-rd,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,40.00
NEUTRAL-O 20,//www.medicineindia.org/medicine-brand-details/12677/neutral-o-20,Skymax Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/385/skymax-laboratories-pvt-ltd,40.00
NEXCLOX LB,//www.medicineindia.org/medicine-brand-details/5164/nexclox-lb,NEXUS (INDIA),//www.medicineindia.org/medicine-manufacturing-company/543/nexus-india,41.00
NALFACAL,//www.medicineindia.org/medicine-brand-details/11972/nalfacal,NAC INTERNATIONAL,//www.medicineindia.org/medicine-manufacturing-company/189/nac-international,41.00
NEPOCLOX,//www.medicineindia.org/medicine-brand-details/3177/nepoclox,TTK Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/125/ttk-healthcare-ltd,43.00
NOKLOT CV,//www.medicineindia.org/medicine-brand-details/22896/noklot-cv,Cadila Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/27/cadila-pharmaceuticals-ltd,43.10
NOGACID-D,//www.medicineindia.org/medicine-brand-details/12680/nogacid-d,Cadila Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/27/cadila-pharmaceuticals-ltd,45.00
NIMULID-SP,//www.medicineindia.org/medicine-brand-details/2206/nimulid-sp,Panacea Biotec Ltd.,//www.medicineindia.org/medicine-manufacturing-company/5/panacea-biotec-ltd,48.00
NIMAC-SP,//www.medicineindia.org/medicine-brand-details/2199/nimac-sp,WINTECH PHARMA,//www.medicineindia.org/medicine-manufacturing-company/270/wintech-pharma,49.00
NULOC-D,//www.medicineindia.org/medicine-brand-details/13137/nuloc-d,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,50.00
NAZOL-D,//www.medicineindia.org/medicine-brand-details/13019/nazol-d,BIOCARE REMEDIES,//www.medicineindia.org/medicine-manufacturing-company/321/biocare-remedies,50.00
NEUROMIN-M,//www.medicineindia.org/medicine-brand-details/22832/neuromin-m,Ordain Healthcare Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/965/ordain-healthcare-pvt-ltd,50.00
NIMOOL-SP,//www.medicineindia.org/medicine-brand-details/2202/nimool-sp,Ontario Organics Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/276/ontario-organics-pvt-ltd,54.00
NEUROXETIN,//www.medicineindia.org/medicine-brand-details/22797/neuroxetin,Aristo Pharmaceutical Ltd.,//www.medicineindia.org/medicine-manufacturing-company/45/aristo-pharmaceutical-ltd,62.99
NATOZ,//www.medicineindia.org/medicine-brand-details/22762/natoz,Medreich,//www.medicineindia.org/medicine-manufacturing-company/1030/medreich,65.00
NEUROFORTE CAPSULE,//www.medicineindia.org/medicine-brand-details/22862/neuroforte-capsule,MERIDIAN MEDICARE,//www.medicineindia.org/medicine-manufacturing-company/269/meridian-medicare,65.00
NERVUP FORTE,//www.medicineindia.org/medicine-brand-details/18181/nervup-forte,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,66.00
NATVIE-C,//www.medicineindia.org/medicine-brand-details/22697/natvie-c,Franco Indian Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/170/franco-indian-pharmaceuticals-ltd,66.75
NOCAD,//www.medicineindia.org/medicine-brand-details/22887/nocad,Piramal Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/107/piramal-healthcare-ltd,72.14
NERVIJEN CAP,//www.medicineindia.org/medicine-brand-details/22901/nervijen-cap,Jenburkt Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/361/jenburkt-pharmaceuticals-ltd,74.79
NEUROCHEK,//www.medicineindia.org/medicine-brand-details/17526/neurochek,Indoco Remedies Ltd.,//www.medicineindia.org/medicine-manufacturing-company/63/indoco-remedies-ltd,74.90
NEUCOBAL PLUS,//www.medicineindia.org/medicine-brand-details/22784/neucobal-plus,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,76.00
NERVIJEN PLUS,//www.medicineindia.org/medicine-brand-details/22828/nervijen-plus,Jenburkt Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/361/jenburkt-pharmaceuticals-ltd,78.79
