medicine,description_url,company,company_url,price
ONTAC,//www.medicineindia.org/medicine-brand-details/1522/ontac,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,3.40
OCTRIDE,//www.medicineindia.org/medicine-brand-details/15517/octride,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,197.00
OCTRIDE,//www.medicineindia.org/medicine-brand-details/15517/octride,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,378.00
OVUTRIG-HP,//www.medicineindia.org/medicine-brand-details/15286/ovutrig-hp,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,871.00
OVIMEN,//www.medicineindia.org/medicine-brand-details/15267/ovimen,Life Medicare & Biotech Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/48/life-medicare-biotech-pvt-ltd,1425.00
OVUGRAF-HP,//www.medicineindia.org/medicine-brand-details/15303/ovugraf-hp,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,1600.00
OVUFOL-HP,//www.medicineindia.org/medicine-brand-details/15269/ovufol-hp,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,1677.00
OND,//www.medicineindia.org/medicine-brand-details/10154/ond,Bestochem Formulations (I) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/259/bestochem-formulations-i-ltd,26.00
OVUTRIG-HP,//www.medicineindia.org/medicine-brand-details/15286/ovutrig-hp,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,322.00
OXALGIN-D,//www.medicineindia.org/medicine-brand-details/1525/oxalgin-d,Zydus Cadila,//www.medicineindia.org/medicine-manufacturing-company/26/zydus-cadila,3.48
ONDAR,//www.medicineindia.org/medicine-brand-details/10155/ondar,ZOTA HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/208/zota-healthcare,16.00
ORCHIDOL,//www.medicineindia.org/medicine-brand-details/1304/orchidol,ORCHID,//www.medicineindia.org/medicine-manufacturing-company/347/orchid,14.00
OVUTRIG-HP,//www.medicineindia.org/medicine-brand-details/15286/ovutrig-hp,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,448.00
OVIMEN,//www.medicineindia.org/medicine-brand-details/15267/ovimen,Life Medicare & Biotech Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/48/life-medicare-biotech-pvt-ltd,800.00
OVUGRAF-HP,//www.medicineindia.org/medicine-brand-details/15303/ovugraf-hp,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,997.00
OVUFOL-HP,//www.medicineindia.org/medicine-brand-details/15269/ovufol-hp,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,1047.00
OSDIL,//www.medicineindia.org/medicine-brand-details/2847/osdil,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,7.35
