medicine,description_url,company,company_url,price
PENTAGLOBIN,//www.medicineindia.org/medicine-brand-details/103/pentaglobin,Paviour Pharma,//www.medicineindia.org/medicine-manufacturing-company/29/paviour-pharma,14753.00
PENTAGLOBIN,//www.medicineindia.org/medicine-brand-details/103/pentaglobin,Paviour Pharma,//www.medicineindia.org/medicine-manufacturing-company/29/paviour-pharma,2058.00
PIPCOL.,//www.medicineindia.org/medicine-brand-details/238/pipcol,Geno Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/69/geno-pharmaceuticals-ltd,3.40
PENTAGLOBIN,//www.medicineindia.org/medicine-brand-details/103/pentaglobin,Paviour Pharma,//www.medicineindia.org/medicine-manufacturing-company/29/paviour-pharma,7613.00
PROTA,//www.medicineindia.org/medicine-brand-details/518/prota,Samarth Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/57/samarth-pharma-pvt-ltd,29.00
PYROLATE,//www.medicineindia.org/medicine-brand-details/2852/pyrolate,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,108.00
PRANOSOL,//www.medicineindia.org/medicine-brand-details/2573/pranosol,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,125.00
PROGTASE,//www.medicineindia.org/medicine-brand-details/17084/progtase,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,0.00
PROPRANOLOL (SAMARTH),//www.medicineindia.org/medicine-brand-details/2576/propranolol-samarth,Samarth Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/57/samarth-pharma-pvt-ltd,120.00
PROTAMINE SULPHATE,//www.medicineindia.org/medicine-brand-details/519/protamine-sulphate,Biological E. Limited,//www.medicineindia.org/medicine-manufacturing-company/7/biological-e-limited,25.00
PRIMACOR IV,//www.medicineindia.org/medicine-brand-details/8385/primacor-iv,Sanofi Synthelabo (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/114/sanofi-synthelabo-india-ltd,849.00
PHENTOSOL,//www.medicineindia.org/medicine-brand-details/8227/phentosol,SGPharma Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/109/sgpharma-pvt-ltd,495.00
PUBERGEN,//www.medicineindia.org/medicine-brand-details/15289/pubergen,Uni-Sankyo Limited,//www.medicineindia.org/medicine-manufacturing-company/330/uni-sankyo-limited,190.00
PUBERGEN,//www.medicineindia.org/medicine-brand-details/15289/pubergen,Uni-Sankyo Limited,//www.medicineindia.org/medicine-manufacturing-company/330/uni-sankyo-limited,562.00
PROFASI,//www.medicineindia.org/medicine-brand-details/15288/profasi,Serum International Ltd.,//www.medicineindia.org/medicine-manufacturing-company/479/serum-international-ltd,761.98
PROSTODIN,//www.medicineindia.org/medicine-brand-details/16801/prostodin,Astra Zeneca,//www.medicineindia.org/medicine-manufacturing-company/83/astra-zeneca,54.00
