medicine,description_url,company,company_url,price
QST,//www.medicineindia.org/medicine-brand-details/6866/qst,McW HC,//www.medicineindia.org/medicine-manufacturing-company/677/mcw-hc,15.80
QINARSOL-300,//www.medicineindia.org/medicine-brand-details/6861/qinarsol-300,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,9.00
QST,//www.medicineindia.org/medicine-brand-details/6866/qst,McW HC,//www.medicineindia.org/medicine-manufacturing-company/677/mcw-hc,9.20
QUININE,//www.medicineindia.org/medicine-brand-details/6869/quinine,E.Merck (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/119/emerck-india-ltd,13.50
QINARSOL-300,//www.medicineindia.org/medicine-brand-details/6861/qinarsol-300,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,17.00
QTR-ALFA,//www.medicineindia.org/medicine-brand-details/11937/qtr-alfa,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,31.50
Q CEPH,//www.medicineindia.org/medicine-brand-details/3852/q-ceph,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,69.49
QUINTEGA CF,//www.medicineindia.org/medicine-brand-details/16449/quintega-cf,Wave Bio-Tech Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/273/wave-bio-tech-pvt-ltd,24.60
QUADRIDERM,//www.medicineindia.org/medicine-brand-details/16392/quadriderm,Fulford (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/111/fulford-india-ltd,49.40
QUADRIDERM-AF,//www.medicineindia.org/medicine-brand-details/16379/quadriderm-af,Fulford (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/111/fulford-india-ltd,59.40
QUADRIMIX,//www.medicineindia.org/medicine-brand-details/16393/quadrimix,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,21.50
QUISS FORTE,//www.medicineindia.org/medicine-brand-details/16389/quiss-forte,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,26.00
QUADRIDERM,//www.medicineindia.org/medicine-brand-details/16392/quadriderm,Fulford (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/111/fulford-india-ltd,26.20
QUNISOL,//www.medicineindia.org/medicine-brand-details/15597/qunisol,Ochoa Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/405/ochoa-laboratories-p-ltd,15.20
QUGAT,//www.medicineindia.org/medicine-brand-details/15651/qugat,Syntho Pharmaceuticals (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/718/syntho-pharmaceuticals-p-ltd,32.50
