medicine,description_url,company,company_url,price
REE-LAX,//www.medicineindia.org/medicine-brand-details/13520/ree-lax,SAGA LAB,//www.medicineindia.org/medicine-manufacturing-company/500/saga-lab,69.50
ROFERON-A,//www.medicineindia.org/medicine-brand-details/6986/roferon-a,Piramal Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/107/piramal-healthcare-ltd,1361.00
RHOFENID,//www.medicineindia.org/medicine-brand-details/1412/rhofenid,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,12.40
REPTILASE INJ.,//www.medicineindia.org/medicine-brand-details/8554/reptilase-inj,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,55.00
ROFOL,//www.medicineindia.org/medicine-brand-details/17102/rofol,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,135.00
RAPITHER,//www.medicineindia.org/medicine-brand-details/6900/rapither,IPCA Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/156/ipca-laboratories-ltd,83.00
RESET,//www.medicineindia.org/medicine-brand-details/17764/reset,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,30.40
RITODINE,//www.medicineindia.org/medicine-brand-details/16816/ritodine,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,35.00
RECAGON,//www.medicineindia.org/medicine-brand-details/15272/recagon,Infar (India) Limited,//www.medicineindia.org/medicine-manufacturing-company/3/infar-india-limited,2925.00
REZ-Q,//www.medicineindia.org/medicine-brand-details/6875/rez-q,Plethico Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/227/plethico-pharmaceuticals,9.95
REZ-Q,//www.medicineindia.org/medicine-brand-details/6875/rez-q,Plethico Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/227/plethico-pharmaceuticals,17.90
RUVEC,//www.medicineindia.org/medicine-brand-details/11867/ruvec,Rusan Healthcare Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/53/rusan-healthcare-pvt-ltd,10.00
RHOFENID,//www.medicineindia.org/medicine-brand-details/1412/rhofenid,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,14.31
RITROD,//www.medicineindia.org/medicine-brand-details/16817/ritrod,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,108.00
REGLAN,//www.medicineindia.org/medicine-brand-details/562/reglan,CFL Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/157/cfl-pharmaceuticals-limited,5.40
RITODINE,//www.medicineindia.org/medicine-brand-details/16816/ritodine,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,75.00
RECAGON,//www.medicineindia.org/medicine-brand-details/15272/recagon,Infar (India) Limited,//www.medicineindia.org/medicine-manufacturing-company/3/infar-india-limited,1462.50
REFIRM CT,//www.medicineindia.org/medicine-brand-details/11998/refirm-ct,Sanat Products Ltd.,//www.medicineindia.org/medicine-manufacturing-company/413/sanat-products-ltd,0.00
REDITONE PLUS,//www.medicineindia.org/medicine-brand-details/17940/reditone-plus,Blue Cross Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/67/blue-cross-laboratories-ltd,9.90
RAYKAVIT,//www.medicineindia.org/medicine-brand-details/17962/raykavit,Moraceae Lab Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/173/moraceae-lab-pvt-ltd,16.00
REXFLORA,//www.medicineindia.org/medicine-brand-details/17513/rexflora,KonTest Chemicals Limited,//www.medicineindia.org/medicine-manufacturing-company/64/kontest-chemicals-limited,25.00
RENUE FORTE,//www.medicineindia.org/medicine-brand-details/18217/renue-forte,Raptakos Brett & Co. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/46/raptakos-brett-co-ltd,26.00
ROSCILOX,//www.medicineindia.org/medicine-brand-details/3181/roscilox,Rextar,//www.medicineindia.org/medicine-manufacturing-company/390/rextar,27.98
REVOX,//www.medicineindia.org/medicine-brand-details/18218/revox,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,28.00
RABEKIND-DM,//www.medicineindia.org/medicine-brand-details/13140/rabekind-dm,Mankind Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/251/mankind-pharma-pvt-ltd,29.90
RACLOX-LB,//www.medicineindia.org/medicine-brand-details/3487/raclox-lb,Intra Labs,//www.medicineindia.org/medicine-manufacturing-company/73/intra-labs,30.00
RABTIC-D,//www.medicineindia.org/medicine-brand-details/13159/rabtic-d,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,30.00
RUCLOX-LB,//www.medicineindia.org/medicine-brand-details/3528/ruclox-lb,Rusan Healthcare Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/53/rusan-healthcare-pvt-ltd,30.45
REVUP,//www.medicineindia.org/medicine-brand-details/17693/revup,Aristo Pharmaceutical Ltd.,//www.medicineindia.org/medicine-manufacturing-company/45/aristo-pharmaceutical-ltd,32.00
RABERA- DSR,//www.medicineindia.org/medicine-brand-details/13145/rabera-dsr,Jenburkt Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/361/jenburkt-pharmaceuticals-ltd,34.70
RADIVIT,//www.medicineindia.org/medicine-brand-details/18230/radivit,Psychotropics India Limited (PIL),//www.medicineindia.org/medicine-manufacturing-company/297/psychotropics-india-limited-pil,35.00
RECOVIT,//www.medicineindia.org/medicine-brand-details/17692/recovit,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,36.82
R-CLONAC,//www.medicineindia.org/medicine-brand-details/1821/r-clonac,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,38.00
RONALDO,//www.medicineindia.org/medicine-brand-details/2174/ronaldo,Recon Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/128/recon-healthcare-ltd,39.00
RABEZ-D,//www.medicineindia.org/medicine-brand-details/13149/rabez-d,Genix Pharma,//www.medicineindia.org/medicine-manufacturing-company/589/genix-pharma,39.00
RABTIC-DSR,//www.medicineindia.org/medicine-brand-details/13160/rabtic-dsr,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,39.75
RINIZIDE,//www.medicineindia.org/medicine-brand-details/18727/rinizide,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,42.00
RAPCO-D,//www.medicineindia.org/medicine-brand-details/13161/rapco-d,Comed Chemicals Pvt. ltd.,//www.medicineindia.org/medicine-manufacturing-company/145/comed-chemicals-pvt-ltd,42.00
RABEKIND-DSR,//www.medicineindia.org/medicine-brand-details/13141/rabekind-dsr,Mankind Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/251/mankind-pharma-pvt-ltd,43.00
RE CART CAP.,//www.medicineindia.org/medicine-brand-details/11406/re-cart-cap,Cachet Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/452/cachet-pharmaceuticals-ltd,43.00
RABIZOLE DM SR,//www.medicineindia.org/medicine-brand-details/13156/rabizole-dm-sr,GLOBIN PHARMA,//www.medicineindia.org/medicine-manufacturing-company/436/globin-pharma,45.00
RABETO D,//www.medicineindia.org/medicine-brand-details/13148/rabeto-d,SYMBIOSIS PHARMA,//www.medicineindia.org/medicine-manufacturing-company/454/symbiosis-pharma,45.00
RABIUM-DSR,//www.medicineindia.org/medicine-brand-details/13155/rabium-dsr,Intas Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/17/intas-pharmaceuticals-pvt-ltd,46.00
RAMISTAR-A,//www.medicineindia.org/medicine-brand-details/7932/ramistar-a,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,47.50
RAPEED-D,//www.medicineindia.org/medicine-brand-details/13162/rapeed-d,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,48.00
R-CID PLUS,//www.medicineindia.org/medicine-brand-details/13167/r-cid-plus,Piramal Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/107/piramal-healthcare-ltd,49.00
RABNEX -DSR,//www.medicineindia.org/medicine-brand-details/13158/rabnex-dsr,NEXUS (INDIA),//www.medicineindia.org/medicine-manufacturing-company/543/nexus-india,50.00
RELENT L,//www.medicineindia.org/medicine-brand-details/10599/relent-l,Dr. Reddy`s Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/42/dr-reddys-laboratories-ltd,52.00
RESNER,//www.medicineindia.org/medicine-brand-details/17527/resner,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,53.00
RABEFINE-DSR,//www.medicineindia.org/medicine-brand-details/18849/rabefine-dsr,Glenmark Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/166/glenmark-pharmaceuticals-ltd,54.00
REPRAL D,//www.medicineindia.org/medicine-brand-details/13169/repral-d,ELDER H.CARE,//www.medicineindia.org/medicine-manufacturing-company/138/elder-hcare,55.00
RABIFAST DSR,//www.medicineindia.org/medicine-brand-details/13152/rabifast-dsr,Zuventus Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/527/zuventus-healthcare-ltd,58.00
RABIMOR-DSR,//www.medicineindia.org/medicine-brand-details/13153/rabimor-dsr,Aamorb Pharmaceuitcals Pvt.Ltd,//www.medicineindia.org/medicine-manufacturing-company/424/aamorb-pharmaceuitcals-pvtltd,59.50
RABLET-D,//www.medicineindia.org/medicine-brand-details/13157/rablet-d,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,60.00
REKOOL-D,//www.medicineindia.org/medicine-brand-details/13168/rekool-d,Alembic Ltd.,//www.medicineindia.org/medicine-manufacturing-company/52/alembic-ltd,61.00
RABEP-DSR,//www.medicineindia.org/medicine-brand-details/13144/rabep-dsr,ACTIVE H.CARE,//www.medicineindia.org/medicine-manufacturing-company/178/active-hcare,65.00
RABELOC RD,//www.medicineindia.org/medicine-brand-details/13142/rabeloc-rd,CADILA H,//www.medicineindia.org/medicine-manufacturing-company/155/cadila-h,65.00
REFACTO,//www.medicineindia.org/medicine-brand-details/13113/refacto,GENESIS BIOTECH,//www.medicineindia.org/medicine-manufacturing-company/291/genesis-biotech,69.00
RITOX,//www.medicineindia.org/medicine-brand-details/17528/ritox,Khandelwal Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/98/khandelwal-laboratories-ltd,69.90
REVITAL,//www.medicineindia.org/medicine-brand-details/18982/revital,Ranbaxy Laboratories Limited,//www.medicineindia.org/medicine-manufacturing-company/132/ranbaxy-laboratories-limited,75.00
RAZO D,//www.medicineindia.org/medicine-brand-details/13165/razo-d,Dr. Reddy`s Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/42/dr-reddys-laboratories-ltd,95.00
ROLSICAL,//www.medicineindia.org/medicine-brand-details/12018/rolsical,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,109.00
REINCAR,//www.medicineindia.org/medicine-brand-details/18247/reincar,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,120.00
REJOINT,//www.medicineindia.org/medicine-brand-details/11419/rejoint,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,198.00
RECHARGE,//www.medicineindia.org/medicine-brand-details/18270/recharge,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,230.00
RAD-M,//www.medicineindia.org/medicine-brand-details/17249/rad-m,Chemech Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/36/chemech-laboratories-ltd,45.00
REVOLINA,//www.medicineindia.org/medicine-brand-details/17277/revolina,Intas Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/17/intas-pharmaceuticals-pvt-ltd,72.00
RAD,//www.medicineindia.org/medicine-brand-details/17866/rad,Chemech Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/36/chemech-laboratories-ltd,90.00
RECHARGE,//www.medicineindia.org/medicine-brand-details/18270/recharge,Troikaa Parenterals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/104/troikaa-parenterals-ltd,150.00
RECARTIX,//www.medicineindia.org/medicine-brand-details/11382/recartix,Comed Chemicals Pvt. ltd.,//www.medicineindia.org/medicine-manufacturing-company/145/comed-chemicals-pvt-ltd,225.00
REDCLOX - LB,//www.medicineindia.org/medicine-brand-details/3527/redclox-lb,Recon Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/128/recon-healthcare-ltd,13.25
RESPORIDEX,//www.medicineindia.org/medicine-brand-details/3709/resporidex,Stancare Div. of Ranbaxy Labs.,//www.medicineindia.org/medicine-manufacturing-company/363/stancare-div-of-ranbaxy-labs,65.90
RESPORIDEX,//www.medicineindia.org/medicine-brand-details/3709/resporidex,Stancare Div. of Ranbaxy Labs.,//www.medicineindia.org/medicine-manufacturing-company/363/stancare-div-of-ranbaxy-labs,104.50
RITOMAX - L,//www.medicineindia.org/medicine-brand-details/6974/ritomax-l,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,4490.00
ROCALTROL,//www.medicineindia.org/medicine-brand-details/12017/rocaltrol,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,130.00
RAMIDIL,//www.medicineindia.org/medicine-brand-details/7891/ramidil,Medley Pharmaceuticals Pvt. Ltd,//www.medicineindia.org/medicine-manufacturing-company/108/medley-pharmaceuticals-pvt-ltd,12.50
RAMCOR,//www.medicineindia.org/medicine-brand-details/7887/ramcor,Innova (IPCA),//www.medicineindia.org/medicine-manufacturing-company/431/innova-ipca,12.50
RAMPRIL,//www.medicineindia.org/medicine-brand-details/7897/rampril,Themis Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/205/themis-pharmaceuticals-ltd,18.00
RAMIPRO,//www.medicineindia.org/medicine-brand-details/7894/ramipro,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,22.00
RAMIRIL,//www.medicineindia.org/medicine-brand-details/7895/ramiril,Micro Labs Ltd.,//www.medicineindia.org/medicine-manufacturing-company/202/micro-labs-ltd,24.00
RAMISTAR,//www.medicineindia.org/medicine-brand-details/7896/ramistar,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,30.00
RIVASMINE,//www.medicineindia.org/medicine-brand-details/10039/rivasmine,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,45.00
RIVADEM,//www.medicineindia.org/medicine-brand-details/10037/rivadem,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,57.00
RIVAMER,//www.medicineindia.org/medicine-brand-details/10038/rivamer,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,62.00
REDUCE,//www.medicineindia.org/medicine-brand-details/17148/reduce,Ordain Health Care Pvt Ltd,//www.medicineindia.org/medicine-manufacturing-company/308/ordain-health-care-pvt-ltd,85.00
RAMIRIL,//www.medicineindia.org/medicine-brand-details/7895/ramiril,Micro Labs Ltd.,//www.medicineindia.org/medicine-manufacturing-company/202/micro-labs-ltd,88.00
RAMPRIL,//www.medicineindia.org/medicine-brand-details/7897/rampril,Themis Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/205/themis-pharmaceuticals-ltd,89.00
RAMISTAR,//www.medicineindia.org/medicine-brand-details/7896/ramistar,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,105.00
RUCKO,//www.medicineindia.org/medicine-brand-details/13609/rucko,IND SWIFT LIMITED,//www.medicineindia.org/medicine-manufacturing-company/374/ind-swift-limited,0.00
REVIBRA,//www.medicineindia.org/medicine-brand-details/2083/revibra,Dr. Reddy`s Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/42/dr-reddys-laboratories-ltd,39.60
RACE-F,//www.medicineindia.org/medicine-brand-details/13600/race-f,Bestochem Formulations (I) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/259/bestochem-formulations-i-ltd,55.00
RACIGYL,//www.medicineindia.org/medicine-brand-details/13603/racigyl,Mankind Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/251/mankind-pharma-pvt-ltd,59.90
RACY,//www.medicineindia.org/medicine-brand-details/13605/racy,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,69.00
RACOTIL,//www.medicineindia.org/medicine-brand-details/13604/racotil,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,69.00
RACEX,//www.medicineindia.org/medicine-brand-details/13602/racex,Zee Laboratories,//www.medicineindia.org/medicine-manufacturing-company/110/zee-laboratories,70.00
RALOP,//www.medicineindia.org/medicine-brand-details/13606/ralop,Salud Care (I) Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/412/salud-care-i-pvt-ltd,70.00
RACELOC,//www.medicineindia.org/medicine-brand-details/13601/raceloc,Intra Labs,//www.medicineindia.org/medicine-manufacturing-company/73/intra-labs,99.00
RACEDOT,//www.medicineindia.org/medicine-brand-details/13599/racedot,Intra Labs,//www.medicineindia.org/medicine-manufacturing-company/73/intra-labs,99.50
REDOTIL,//www.medicineindia.org/medicine-brand-details/13607/redotil,Dr. Reddy`s Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/42/dr-reddys-laboratories-ltd,110.00
RETROVIR,//www.medicineindia.org/medicine-brand-details/6922/retrovir,Glaxo Smithkline,//www.medicineindia.org/medicine-manufacturing-company/8/glaxo-smithkline,2040.00
RITOMAX,//www.medicineindia.org/medicine-brand-details/18480/ritomax,Alkem Laboratries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/117/alkem-laboratries-ltd,825.00
RIBAVIN,//www.medicineindia.org/medicine-brand-details/6990/ribavin,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,115.26
RITOMUNE,//www.medicineindia.org/medicine-brand-details/6969/ritomune,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,2475.00
RITOVIR,//www.medicineindia.org/medicine-brand-details/6970/ritovir,Genix Pharma,//www.medicineindia.org/medicine-manufacturing-company/589/genix-pharma,3250.00
R-CIN,//www.medicineindia.org/medicine-brand-details/6135/r-cin,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,20.31
RIMAREX,//www.medicineindia.org/medicine-brand-details/9535/rimarex,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,67.50
RIFACILIN,//www.medicineindia.org/medicine-brand-details/6138/rifacilin,PCI Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/398/pci-pharmaceuticals,99.68
RIFAMINAL,//www.medicineindia.org/medicine-brand-details/6141/rifaminal,Manufacturer Not Mentioned,//www.medicineindia.org/medicine-manufacturing-company/43/manufacturer-not-mentioned,138.60
RIMACTANE,//www.medicineindia.org/medicine-brand-details/6144/rimactane,Novartis,//www.medicineindia.org/medicine-manufacturing-company/80/novartis,217.88
RIFACILIN,//www.medicineindia.org/medicine-brand-details/6138/rifacilin,PCI Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/398/pci-pharmaceuticals,4.98
RIFAMINAL,//www.medicineindia.org/medicine-brand-details/6141/rifaminal,Manufacturer Not Mentioned,//www.medicineindia.org/medicine-manufacturing-company/43/manufacturer-not-mentioned,5.82
RIBUTIN,//www.medicineindia.org/medicine-brand-details/18726/ributin,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,250.00
ROKO CAPSULE,//www.medicineindia.org/medicine-brand-details/13580/roko-capsule,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,13.00
RAMIDIL,//www.medicineindia.org/medicine-brand-details/7891/ramidil,Medley Pharmaceuticals Pvt. Ltd,//www.medicineindia.org/medicine-manufacturing-company/108/medley-pharmaceuticals-pvt-ltd,25.00
RAMCOR,//www.medicineindia.org/medicine-brand-details/7887/ramcor,Innova (IPCA),//www.medicineindia.org/medicine-manufacturing-company/431/innova-ipca,25.00
R-PRIL,//www.medicineindia.org/medicine-brand-details/7904/r-pril,Biochem Pharma Industries,//www.medicineindia.org/medicine-manufacturing-company/373/biochem-pharma-industries,29.95
RAMPRIL,//www.medicineindia.org/medicine-brand-details/7897/rampril,Themis Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/205/themis-pharmaceuticals-ltd,34.00
RAMIPRO,//www.medicineindia.org/medicine-brand-details/7894/ramipro,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,35.00
RAMIRIL,//www.medicineindia.org/medicine-brand-details/7895/ramiril,Micro Labs Ltd.,//www.medicineindia.org/medicine-manufacturing-company/202/micro-labs-ltd,42.00
RAMISTAR,//www.medicineindia.org/medicine-brand-details/7896/ramistar,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,50.00
RAMISTAR-H 2.5,//www.medicineindia.org/medicine-brand-details/7974/ramistar-h-25,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,50.00
ROCID,//www.medicineindia.org/medicine-brand-details/12617/rocid,RONAK LAB,//www.medicineindia.org/medicine-manufacturing-company/177/ronak-lab,35.00
RENZOL,//www.medicineindia.org/medicine-brand-details/12615/renzol,BIOCARE REMEDIES,//www.medicineindia.org/medicine-manufacturing-company/321/biocare-remedies,36.00
RABITAGE,//www.medicineindia.org/medicine-brand-details/12803/rabitage,MEDIZONE,//www.medicineindia.org/medicine-manufacturing-company/286/medizone,38.00
REMZOL,//www.medicineindia.org/medicine-brand-details/12614/remzol,REMED H.CARE,//www.medicineindia.org/medicine-manufacturing-company/573/remed-hcare,39.00
RESEC,//www.medicineindia.org/medicine-brand-details/12616/resec,Merind Limited,//www.medicineindia.org/medicine-manufacturing-company/72/merind-limited,44.00
RABIDONE -DSR,//www.medicineindia.org/medicine-brand-details/12796/rabidone-dsr,KWALITY PHARMACEUTICALS (P) LTD.,//www.medicineindia.org/medicine-manufacturing-company/203/kwality-pharmaceuticals-p-ltd,70.00
REVIBRA,//www.medicineindia.org/medicine-brand-details/2083/revibra,Dr. Reddy`s Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/42/dr-reddys-laboratories-ltd,69.30
REBETOL,//www.medicineindia.org/medicine-brand-details/6989/rebetol,Fulford (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/111/fulford-india-ltd,984.00
RIBAVIN,//www.medicineindia.org/medicine-brand-details/6990/ribavin,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,223.74
RESTECLIN,//www.medicineindia.org/medicine-brand-details/5867/resteclin,SPPL (Sarabhai Piramal Pharmaceuticals Ltd.),//www.medicineindia.org/medicine-manufacturing-company/87/sppl-sarabhai-piramal-pharmaceuticals-ltd,6.66
RADIMOX,//www.medicineindia.org/medicine-brand-details/3297/radimox,Radicura Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/384/radicura-pharmaceuticals-pvt-ltd,36.00
