medicine,description_url,company,company_url,price
SEVORANE,//www.medicineindia.org/medicine-brand-details/19651/sevorane,Abbott Laboratories (India) Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/309/abbott-laboratories-india-pvt-ltd,0.00
SERETIDE,//www.medicineindia.org/medicine-brand-details/11017/seretide,Glaxo Smithkline,//www.medicineindia.org/medicine-manufacturing-company/8/glaxo-smithkline,795.00
SERETIDE,//www.medicineindia.org/medicine-brand-details/11017/seretide,Glaxo Smithkline,//www.medicineindia.org/medicine-manufacturing-company/8/glaxo-smithkline,913.50
SERETIDE,//www.medicineindia.org/medicine-brand-details/11017/seretide,Glaxo Smithkline,//www.medicineindia.org/medicine-manufacturing-company/8/glaxo-smithkline,1034.25
SALMETER,//www.medicineindia.org/medicine-brand-details/11052/salmeter,Dr. Reddy`s Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/42/dr-reddys-laboratories-ltd,91.06
SALMETER,//www.medicineindia.org/medicine-brand-details/11052/salmeter,Dr. Reddy`s Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/42/dr-reddys-laboratories-ltd,135.90
SWISPAS.,//www.medicineindia.org/medicine-brand-details/240/swispas,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,3.50
SUNRAY 280,//www.medicineindia.org/medicine-brand-details/18278/sunray-280,Rhone Poulenc (I) Ltd./Rorer,//www.medicineindia.org/medicine-manufacturing-company/713/rhone-poulenc-i-ltdrorer,135.31
SUNRAY 420,//www.medicineindia.org/medicine-brand-details/18279/sunray-420,Rhone Poulenc (I) Ltd./Rorer,//www.medicineindia.org/medicine-manufacturing-company/713/rhone-poulenc-i-ltdrorer,165.77
SPASMINDON,//www.medicineindia.org/medicine-brand-details/3006/spasmindon,Zydus Alidac,//www.medicineindia.org/medicine-manufacturing-company/25/zydus-alidac,9.32
SANDOSTATIN,//www.medicineindia.org/medicine-brand-details/15518/sandostatin,Novartis,//www.medicineindia.org/medicine-manufacturing-company/80/novartis,302.00
SANDOSTATIN,//www.medicineindia.org/medicine-brand-details/15518/sandostatin,Novartis,//www.medicineindia.org/medicine-manufacturing-company/80/novartis,567.00
SAIZEN,//www.medicineindia.org/medicine-brand-details/15507/saizen,Serum Institute of India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/2/serum-institute-of-india-ltd,4750.62
SYLRON,//www.medicineindia.org/medicine-brand-details/8473/sylron,Kamron Laboratories Limited,//www.medicineindia.org/medicine-manufacturing-company/295/kamron-laboratories-limited,12.08
SYLATE,//www.medicineindia.org/medicine-brand-details/8472/sylate,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,24.00
SENSINIL,//www.medicineindia.org/medicine-brand-details/299/sensinil,Claris Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/41/claris-life-sciences,4.50
SENSINIL,//www.medicineindia.org/medicine-brand-details/299/sensinil,Claris Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/41/claris-life-sciences,13.75
SENSINIL,//www.medicineindia.org/medicine-brand-details/299/sensinil,Claris Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/41/claris-life-sciences,6.25
SOMASTIN,//www.medicineindia.org/medicine-brand-details/15511/somastin,Serum Institute of India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/2/serum-institute-of-india-ltd,350.00
SOMASTAT,//www.medicineindia.org/medicine-brand-details/15510/somastat,Solares (A division of Sun),//www.medicineindia.org/medicine-manufacturing-company/359/solares-a-division-of-sun,495.70
SOMATOSTATIN,//www.medicineindia.org/medicine-brand-details/15513/somatostatin,UCB India Private Ltd.,//www.medicineindia.org/medicine-manufacturing-company/686/ucb-india-private-ltd,590.00
SANDIMMUN,//www.medicineindia.org/medicine-brand-details/11449/sandimmun,Novartis,//www.medicineindia.org/medicine-manufacturing-company/80/novartis,123.00
SANDIMMUN,//www.medicineindia.org/medicine-brand-details/11449/sandimmun,Novartis,//www.medicineindia.org/medicine-manufacturing-company/80/novartis,513.00
SOMASTAT,//www.medicineindia.org/medicine-brand-details/15510/somastat,Solares (A division of Sun),//www.medicineindia.org/medicine-manufacturing-company/359/solares-a-division-of-sun,2330.00
