medicine,description_url,company,company_url,price
TAVEGYL,//www.medicineindia.org/medicine-brand-details/11327/tavegyl,Novartis,//www.medicineindia.org/medicine-manufacturing-company/80/novartis,0.00
TRIPLE ANTIGEN ( SERUM),//www.medicineindia.org/medicine-brand-details/12/triple-antigen-serum,Serum Institute of India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/2/serum-institute-of-india-ltd,114.00
TMA INFUSION AMP,//www.medicineindia.org/medicine-brand-details/18154/tma-infusion-amp,Anglo- French Drugs & Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/169/anglo-french-drugs-industries-ltd,9.00
TRINEUROSOL-H FORTE,//www.medicineindia.org/medicine-brand-details/17748/trineurosol-h-forte,Merind Limited,//www.medicineindia.org/medicine-manufacturing-company/72/merind-limited,6.85
TETAGLOBULIN,//www.medicineindia.org/medicine-brand-details/81/tetaglobulin,Biological E. Limited,//www.medicineindia.org/medicine-manufacturing-company/7/biological-e-limited,245.00
TRIPLE ANTIGEN ( SERUM),//www.medicineindia.org/medicine-brand-details/12/triple-antigen-serum,Serum Institute of India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/2/serum-institute-of-india-ltd,550.00
TETANUS TOXOID ADSORBED ( SERUM),//www.medicineindia.org/medicine-brand-details/63/tetanus-toxoid-adsorbed-serum,Serum Institute of India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/2/serum-institute-of-india-ltd,57.50
TETANUS TOXOID ADSORBED,//www.medicineindia.org/medicine-brand-details/62/tetanus-toxoid-adsorbed,Haffkine Bio-Pharmaceuticals Corporation Ltd.,//www.medicineindia.org/medicine-manufacturing-company/4/haffkine-bio-pharmaceuticals-corporation-ltd,160.01
TERBUTALINE SULPHATE INJ,//www.medicineindia.org/medicine-brand-details/345/terbutaline-sulphate-inj,Astra Zeneca,//www.medicineindia.org/medicine-manufacturing-company/83/astra-zeneca,34.79
TILSTIGMIN,//www.medicineindia.org/medicine-brand-details/12225/tilstigmin,Tablets (India) Limited,//www.medicineindia.org/medicine-manufacturing-company/40/tablets-india-limited,28.08
TROPINE,//www.medicineindia.org/medicine-brand-details/224/tropine,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,54.00
