medicine,description_url,company,company_url,price
UTGARD,//www.medicineindia.org/medicine-brand-details/16818/utgard,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,22.00
UNICALCIN,//www.medicineindia.org/medicine-brand-details/18928/unicalcin,United Biotech,//www.medicineindia.org/medicine-manufacturing-company/49/united-biotech,185.00
UROMITEXAN,//www.medicineindia.org/medicine-brand-details/7281/uromitexan,German Remedies Limited,//www.medicineindia.org/medicine-manufacturing-company/307/german-remedies-limited,94.89
UROMES,//www.medicineindia.org/medicine-brand-details/7280/uromes,VHB Life Sciences,//www.medicineindia.org/medicine-manufacturing-company/12/vhb-life-sciences,93.00
UTODIN,//www.medicineindia.org/medicine-brand-details/16819/utodin,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,93.50
UNICALCIN,//www.medicineindia.org/medicine-brand-details/18928/unicalcin,United Biotech,//www.medicineindia.org/medicine-manufacturing-company/49/united-biotech,105.00
UTGARD,//www.medicineindia.org/medicine-brand-details/16818/utgard,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,90.00
UNIFIT CAP.,//www.medicineindia.org/medicine-brand-details/17705/unifit-cap,Wave Bio-Tech Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/273/wave-bio-tech-pvt-ltd,29.00
UPENTA-DM,//www.medicineindia.org/medicine-brand-details/13121/upenta-dm,UBIT PHARMA,//www.medicineindia.org/medicine-manufacturing-company/298/ubit-pharma,40.00
ULCIMEZ-D,//www.medicineindia.org/medicine-brand-details/12733/ulcimez-d,Baroque Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/342/baroque-pharmaceuticals-pvt-ltd,42.50
ULCIGARD D,//www.medicineindia.org/medicine-brand-details/12732/ulcigard-d,MERIDIAN MEDICARE,//www.medicineindia.org/medicine-manufacturing-company/269/meridian-medicare,48.00
ULTOP-DSR,//www.medicineindia.org/medicine-brand-details/13120/ultop-dsr,Leben Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/61/leben-laboratories-pvt-ltd,50.00
ULCIPROM-D,//www.medicineindia.org/medicine-brand-details/12734/ulciprom-d,Unichem Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/19/unichem-laboratories-ltd,53.00
ULCEZ-D,//www.medicineindia.org/medicine-brand-details/12731/ulcez-d,Nestor Pharmaceuticals Limited,//www.medicineindia.org/medicine-manufacturing-company/545/nestor-pharmaceuticals-limited,59.00
ULCICAL,//www.medicineindia.org/medicine-brand-details/12001/ulcical,Ajantha Pharmaceuticals,//www.medicineindia.org/medicine-manufacturing-company/339/ajantha-pharmaceuticals,67.00
URIMAX F,//www.medicineindia.org/medicine-brand-details/14471/urimax-f,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,117.97
UPBEAT,//www.medicineindia.org/medicine-brand-details/18271/upbeat,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,177.50
ULCIGARD FORTE,//www.medicineindia.org/medicine-brand-details/13174/ulcigard-forte,MERIDIAN MEDICARE,//www.medicineindia.org/medicine-manufacturing-company/269/meridian-medicare,130.00
UNIFEX CAP,//www.medicineindia.org/medicine-brand-details/3720/unifex-cap,Bestochem Formulations (I) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/259/bestochem-formulations-i-ltd,25.00
URIMAX,//www.medicineindia.org/medicine-brand-details/14466/urimax,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,45.21
URIMAX,//www.medicineindia.org/medicine-brand-details/14466/urimax,Cipla Limited,//www.medicineindia.org/medicine-manufacturing-company/71/cipla-limited,59.00
UNORAM,//www.medicineindia.org/medicine-brand-details/7909/unoram,Systopic Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/142/systopic-laboratories-p-ltd,17.00
ULZOL,//www.medicineindia.org/medicine-brand-details/12628/ulzol,Dabur Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/237/dabur-pharmaceuticals-ltd,20.00
UTROGESTAN,//www.medicineindia.org/medicine-brand-details/15396/utrogestan,Solvay Pharma India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/365/solvay-pharma-india-ltd,450.00
UROTEL XL,//www.medicineindia.org/medicine-brand-details/14459/urotel-xl,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,95.00
ULCICAP,//www.medicineindia.org/medicine-brand-details/12624/ulcicap,Surmount Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/257/surmount-laboratories-pvt-ltd,22.50
ULCELAK,//www.medicineindia.org/medicine-brand-details/12623/ulcelak,Shalaks Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/65/shalaks-pharmaceuticals-pvt-ltd,32.00
ULCIMEZ,//www.medicineindia.org/medicine-brand-details/12626/ulcimez,Baroque Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/342/baroque-pharmaceuticals-pvt-ltd,33.50
ULCIGARD,//www.medicineindia.org/medicine-brand-details/12625/ulcigard,MERIDIAN MEDICARE,//www.medicineindia.org/medicine-manufacturing-company/269/meridian-medicare,35.00
ULCURE,//www.medicineindia.org/medicine-brand-details/12627/ulcure,Novamed,//www.medicineindia.org/medicine-manufacturing-company/389/novamed,36.30
