medicine,description_url,company,company_url,price
VBC-12,//www.medicineindia.org/medicine-brand-details/17461/vbc-12,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,5.40
VENOFER,//www.medicineindia.org/medicine-brand-details/18123/venofer,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,350.00
VASOCON,//www.medicineindia.org/medicine-brand-details/217/vasocon,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,13.00
VARDOL,//www.medicineindia.org/medicine-brand-details/1340/vardol,ZOTA HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/208/zota-healthcare,25.00
VASOPIN,//www.medicineindia.org/medicine-brand-details/15530/vasopin,Samarth Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/57/samarth-pharma-pvt-ltd,600.00
VARITECT-CP,//www.medicineindia.org/medicine-brand-details/104/varitect-cp,Paviour Pharma,//www.medicineindia.org/medicine-manufacturing-company/29/paviour-pharma,6815.00
VECURON,//www.medicineindia.org/medicine-brand-details/11868/vecuron,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,76.80
VESCUE,//www.medicineindia.org/medicine-brand-details/8400/vescue,Rusan Healthcare Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/53/rusan-healthcare-pvt-ltd,120.00
VPL,//www.medicineindia.org/medicine-brand-details/386/vpl,Samarth Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/57/samarth-pharma-pvt-ltd,20.70
VOFANE,//www.medicineindia.org/medicine-brand-details/1413/vofane,Neon Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/50/neon-laboratories-ltd,14.31
VAGIFEM,//www.medicineindia.org/medicine-brand-details/16832/vagifem,Novo Nordisk Pharma India Ltd.,//www.medicineindia.org/medicine-manufacturing-company/131/novo-nordisk-pharma-india-ltd,506.30
VENT SF INHALER,//www.medicineindia.org/medicine-brand-details/11021/vent-sf-inhaler,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,260.00
VENT SF INHALER,//www.medicineindia.org/medicine-brand-details/11021/vent-sf-inhaler,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,370.00
VENTIPRA - MDI,//www.medicineindia.org/medicine-brand-details/10950/ventipra-mdi,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,170.00
VENSY,//www.medicineindia.org/medicine-brand-details/10483/vensy,Aglowmed Limited,//www.medicineindia.org/medicine-manufacturing-company/247/aglowmed-limited,0.00
VITCOFOL CAPS.,//www.medicineindia.org/medicine-brand-details/17957/vitcofol-caps,FDC Ltd.,//www.medicineindia.org/medicine-manufacturing-company/96/fdc-ltd,12.60
VITAWIZ,//www.medicineindia.org/medicine-brand-details/17720/vitawiz,Bal Pharma,//www.medicineindia.org/medicine-manufacturing-company/209/bal-pharma,14.16
VITAFOL-Z TR,//www.medicineindia.org/medicine-brand-details/18008/vitafol-z-tr,Intra Labs,//www.medicineindia.org/medicine-manufacturing-company/73/intra-labs,15.00
VIZYLAC,//www.medicineindia.org/medicine-brand-details/17507/vizylac,Unichem Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/19/unichem-laboratories-ltd,15.50
VIBELAN FORTE,//www.medicineindia.org/medicine-brand-details/17462/vibelan-forte,Allenburys,//www.medicineindia.org/medicine-manufacturing-company/82/allenburys,15.59
VITAZINC,//www.medicineindia.org/medicine-brand-details/18150/vitazinc,Bal Pharma,//www.medicineindia.org/medicine-manufacturing-company/209/bal-pharma,15.80
VITAUR PLUS CAP,//www.medicineindia.org/medicine-brand-details/17750/vitaur-plus-cap,Taurus Laboratories Pvt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/121/taurus-laboratories-pvt-ltd,19.80
VITAZYME CAP,//www.medicineindia.org/medicine-brand-details/14249/vitazyme-cap,East India Pharmaceuticals Works Ltd.,//www.medicineindia.org/medicine-manufacturing-company/103/east-india-pharmaceuticals-works-ltd,28.70
VITOMIN-Z,//www.medicineindia.org/medicine-brand-details/18224/vitomin-z,Protech Biosystems,//www.medicineindia.org/medicine-manufacturing-company/180/protech-biosystems,35.00
VELOZ-D,//www.medicineindia.org/medicine-brand-details/13176/veloz-d,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,76.30
VALZAAR 80H,//www.medicineindia.org/medicine-brand-details/8161/valzaar-80h,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,77.00
VALZAAR SM,//www.medicineindia.org/medicine-brand-details/8162/valzaar-sm,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,89.00
VENT PLUS EASECAPS,//www.medicineindia.org/medicine-brand-details/10992/vent-plus-easecaps,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,30.50
VITAFOL-Z TR,//www.medicineindia.org/medicine-brand-details/18008/vitafol-z-tr,Intra Labs,//www.medicineindia.org/medicine-manufacturing-company/73/intra-labs,36.00
VENT PLUS EASECAPS,//www.medicineindia.org/medicine-brand-details/10992/vent-plus-easecaps,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,45.00
VENTIPRA,//www.medicineindia.org/medicine-brand-details/10949/ventipra,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,55.00
VENT SF EASECAPS,//www.medicineindia.org/medicine-brand-details/11020/vent-sf-easecaps,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,98.00
VENT SF EASECAPS,//www.medicineindia.org/medicine-brand-details/11020/vent-sf-easecaps,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,196.00
VENT SF EASECAPS,//www.medicineindia.org/medicine-brand-details/11020/vent-sf-easecaps,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,230.00
VIDOX,//www.medicineindia.org/medicine-brand-details/5951/vidox,Viva Laboratories,//www.medicineindia.org/medicine-manufacturing-company/649/viva-laboratories,25.00
VORANIN,//www.medicineindia.org/medicine-brand-details/15399/voranin,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,109.90
VAGESTON,//www.medicineindia.org/medicine-brand-details/15398/vageston,Zydus Cadila,//www.medicineindia.org/medicine-manufacturing-company/26/zydus-cadila,111.00
VENTIFLO EASECAPS,//www.medicineindia.org/medicine-brand-details/11022/ventiflo-easecaps,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,90.00
VENT FB EASECAPS,//www.medicineindia.org/medicine-brand-details/11007/vent-fb-easecaps,Kresp (A Division of Kopran),//www.medicineindia.org/medicine-manufacturing-company/537/kresp-a-division-of-kopran,100.00
VIVOCYCLINE,//www.medicineindia.org/medicine-brand-details/5952/vivocycline,Indian Drugs & Pharmaceuticals Ltd. (IDPL),//www.medicineindia.org/medicine-manufacturing-company/79/indian-drugs-pharmaceuticals-ltd-idpl,8.12
VENLIFT-OD,//www.medicineindia.org/medicine-brand-details/9730/venlift-od,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,86.00
VALZAAR,//www.medicineindia.org/medicine-brand-details/8111/valzaar,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,130.00
VALENT,//www.medicineindia.org/medicine-brand-details/8110/valent,Lupin Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/95/lupin-laboratories-ltd,130.00
VASOVIN,//www.medicineindia.org/medicine-brand-details/382/vasovin,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,77.00
