medicine,description_url,company,company_url,price
WALAGESIC,//www.medicineindia.org/medicine-brand-details/1373/walagesic,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,11.95
WISNAC-R,//www.medicineindia.org/medicine-brand-details/1823/wisnac-r,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,37.50
WICAR,//www.medicineindia.org/medicine-brand-details/17854/wicar,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,52.50
WARCLOX,//www.medicineindia.org/medicine-brand-details/3451/warclox,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,25.98
WYCID,//www.medicineindia.org/medicine-brand-details/12630/wycid,VOSTOK&WILCURE,//www.medicineindia.org/medicine-manufacturing-company/296/vostokwilcure,40.00
WELMYCIN,//www.medicineindia.org/medicine-brand-details/6040/welmycin,VOSTOK&WILCURE,//www.medicineindia.org/medicine-manufacturing-company/296/vostokwilcure,28.00
WARCILIN,//www.medicineindia.org/medicine-brand-details/3319/warcilin,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,59.50
WYMOX,//www.medicineindia.org/medicine-brand-details/3321/wymox,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,84.51
WARCILIN,//www.medicineindia.org/medicine-brand-details/3319/warcilin,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,105.98
WYMOX,//www.medicineindia.org/medicine-brand-details/3321/wymox,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,138.59
WHITE FIELDS,//www.medicineindia.org/medicine-brand-details/16454/white-fields,AGRAWAL,//www.medicineindia.org/medicine-manufacturing-company/149/agrawal,15.00
WINZOL-F,//www.medicineindia.org/medicine-brand-details/16315/winzol-f,Intra Labs,//www.medicineindia.org/medicine-manufacturing-company/73/intra-labs,25.00
WOKADINE,//www.medicineindia.org/medicine-brand-details/18337/wokadine,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,25.50
WOKADINE VAG.,//www.medicineindia.org/medicine-brand-details/16101/wokadine-vag,Wockhardt Ltd.,//www.medicineindia.org/medicine-manufacturing-company/13/wockhardt-ltd,26.32
WINOLAP,//www.medicineindia.org/medicine-brand-details/15834/winolap,Sun Pharmaceuticals Industries Ltd.,//www.medicineindia.org/medicine-manufacturing-company/34/sun-pharmaceuticals-industries-ltd,70.00
WARCILIN,//www.medicineindia.org/medicine-brand-details/3319/warcilin,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,15.99
WARCILIN,//www.medicineindia.org/medicine-brand-details/3319/warcilin,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,28.00
WIN VAX DPS.,//www.medicineindia.org/medicine-brand-details/16744/win-vax-dps,Unimarck Pharma (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/99/unimarck-pharma-india-ltd,21.00
WIKORYL,//www.medicineindia.org/medicine-brand-details/672/wikoryl,Alembic Ltd.,//www.medicineindia.org/medicine-manufacturing-company/52/alembic-ltd,24.00
WIPLIN GEL,//www.medicineindia.org/medicine-brand-details/16594/wiplin-gel,Advik Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/532/advik-laboratories-ltd,125.00
WISRONE,//www.medicineindia.org/medicine-brand-details/15401/wisrone,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,45.00
WISRONE,//www.medicineindia.org/medicine-brand-details/15401/wisrone,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,88.00
WYCORT,//www.medicineindia.org/medicine-brand-details/277/wycort,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,46.02
WYMESONE,//www.medicineindia.org/medicine-brand-details/264/wymesone,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,9.48
