medicine,description_url,company,company_url,price
XAMIC,//www.medicineindia.org/medicine-brand-details/8546/xamic,Torrent Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/112/torrent-pharmaceuticals-ltd,70.00
XYNOSE LIQUID,//www.medicineindia.org/medicine-brand-details/16757/xynose-liquid,Liva Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/195/liva-healthcare-ltd,29.00
XPAIN,//www.medicineindia.org/medicine-brand-details/1829/xpain,UNIMAX LAB,//www.medicineindia.org/medicine-manufacturing-company/326/unimax-lab,15.00
XELO,//www.medicineindia.org/medicine-brand-details/3541/xelo,BIOCIN HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/379/biocin-healthcare,30.00
XEVOR PLUS,//www.medicineindia.org/medicine-brand-details/10601/xevor-plus,Nicholas Piramal India Ltd. (NPIL),//www.medicineindia.org/medicine-manufacturing-company/44/nicholas-piramal-india-ltd-npil,49.00
XYCLOX-B,//www.medicineindia.org/medicine-brand-details/3543/xyclox-b,Kamron Laboratories Limited,//www.medicineindia.org/medicine-manufacturing-company/295/kamron-laboratories-limited,54.80
XEPENTA-DSR,//www.medicineindia.org/medicine-brand-details/13123/xepenta-dsr,Aamorb Pharmaceuitcals Pvt.Ltd,//www.medicineindia.org/medicine-manufacturing-company/424/aamorb-pharmaceuitcals-pvtltd,59.50
XERODEP,//www.medicineindia.org/medicine-brand-details/9596/xerodep,ENDOCARD,//www.medicineindia.org/medicine-manufacturing-company/263/endocard,25.00
XIN,//www.medicineindia.org/medicine-brand-details/3705/xin,RELAX PHARMA,//www.medicineindia.org/medicine-manufacturing-company/541/relax-pharma,58.00
XITHRO,//www.medicineindia.org/medicine-brand-details/5779/xithro,Baroque Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/342/baroque-pharmaceuticals-pvt-ltd,117.00
XTRADERM,//www.medicineindia.org/medicine-brand-details/16381/xtraderm,Ochoa Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/405/ochoa-laboratories-p-ltd,24.90
X`SES CREAM,//www.medicineindia.org/medicine-brand-details/16020/xses-cream,Ochoa Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/405/ochoa-laboratories-p-ltd,60.00
XTRADERM,//www.medicineindia.org/medicine-brand-details/16381/xtraderm,Ochoa Laboratories (P) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/405/ochoa-laboratories-p-ltd,17.50
