medicine,description_url,company,company_url,price
ZOTADOL,//www.medicineindia.org/medicine-brand-details/1342/zotadol,ZOTA HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/208/zota-healthcare,25.00
ZYCALCIT,//www.medicineindia.org/medicine-brand-details/11875/zycalcit,Zydus Cadila,//www.medicineindia.org/medicine-manufacturing-company/26/zydus-cadila,141.00
ZYSTRONE,//www.medicineindia.org/medicine-brand-details/15402/zystrone,ZOTA HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/208/zota-healthcare,49.00
ZOCIN.,//www.medicineindia.org/medicine-brand-details/1263/zocin,Ind-Swift Ltd.,//www.medicineindia.org/medicine-manufacturing-company/70/ind-swift-ltd,5.75
ZONDA,//www.medicineindia.org/medicine-brand-details/10183/zonda,ZOTA HEALTHCARE,//www.medicineindia.org/medicine-manufacturing-company/208/zota-healthcare,14.00
ZUPAR,//www.medicineindia.org/medicine-brand-details/1254/zupar,Glaxo Smithkline,//www.medicineindia.org/medicine-manufacturing-company/8/glaxo-smithkline,6.51
ZUCOX -2,//www.medicineindia.org/medicine-brand-details/6262/zucox-2,Emcure Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/147/emcure-pharmaceuticals-ltd,55.35
ZUCOX PLUS,//www.medicineindia.org/medicine-brand-details/6263/zucox-plus,Glaxo Smithkline,//www.medicineindia.org/medicine-manufacturing-company/8/glaxo-smithkline,63.47
ZENBEX-T,//www.medicineindia.org/medicine-brand-details/18144/zenbex-t,Abbott Laboratories (India) Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/309/abbott-laboratories-india-pvt-ltd,8.65
ZINFEX-C,//www.medicineindia.org/medicine-brand-details/17734/zinfex-c,Yash Pharma Laboratories Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/204/yash-pharma-laboratories-pvt-ltd,10.14
ZYRTEC-D,//www.medicineindia.org/medicine-brand-details/10413/zyrtec-d,UCB India Private Ltd.,//www.medicineindia.org/medicine-manufacturing-company/686/ucb-india-private-ltd,11.84
ZETOP DUOLET,//www.medicineindia.org/medicine-brand-details/10411/zetop-duolet,IRM Pharma,//www.medicineindia.org/medicine-manufacturing-company/369/irm-pharma,17.00
ZIVAST-ASP,//www.medicineindia.org/medicine-brand-details/8975/zivast-asp,FDC Ltd.,//www.medicineindia.org/medicine-manufacturing-company/96/fdc-ltd,20.00
ZIFERRIN-TR,//www.medicineindia.org/medicine-brand-details/17948/ziferrin-tr,Recon Healthcare Ltd.,//www.medicineindia.org/medicine-manufacturing-company/128/recon-healthcare-ltd,20.44
